observableId	simulationConditionId	measurement	time
obs_cycA__nuc_median	wt	0.3885457	0
obs_cycA__nuc_median	wt	0.350197618	164.6044632
obs_cycA__nuc_median	wt	0.523849379	329.4838944
obs_cycA__nuc_median	wt	0.350197618	494.6393196
obs_cycA__nuc_median	wt	0.413869921	660.071628
obs_cycA__nuc_median	wt	0.350197618	825.7817088
obs_cycA__nuc_median	wt	0.384928009	991.770588
obs_cycA__nuc_median	wt	0.413869921	1158.039086
obs_cycA__nuc_median	wt	0.386375104	1324.58823
obs_cycA__nuc_median	wt	0.452941598	1491.418908
obs_cycA__nuc_median	wt	0.355986001	1658.532146
obs_cycA__nuc_median	wt	0.492013181	1825.928903
obs_cycA__nuc_median	wt	0.408081539	1993.610066
obs_cycA__nuc_median	wt	0.316914419	2161.576595
obs_cycA__nuc_median	wt	0.500695849	2329.829582
obs_cycA__nuc_median	wt	0.403740252	2498.369918
obs_cycA__nuc_median	wt	0.478265819	2667.198629
obs_cycA__nuc_median	wt	0.434852855	2836.316603
obs_cycA__nuc_median	wt	0.458729981	3005.725003
obs_cycA__nuc_median	wt	0.279289837	3175.424651
obs_cycA__nuc_median	wt	0.381310222	3345.41664
obs_cycA__nuc_median	wt	0.380586722	3515.702065
obs_cycA__nuc_median	wt	0.314020227	3686.281747
obs_cycA__nuc_median	wt	0.435576451	3857.156849
obs_cycA__nuc_median	wt	0.357433097	4028.328328
obs_cycA__nuc_median	wt	0.382033817	4199.797278
obs_cycA__nuc_median	wt	0.567985844	4371.564658
obs_cycA__nuc_median	wt	0.366115765	4543.631561
obs_cycA__nuc_median	wt	0.470306746	4715.999014
obs_cycA__nuc_median	wt	0.34296214	4888.668042
obs_cycA__nuc_median	wt	0.327044088	5061.63974
obs_cycA__nuc_median	wt	0.474648033	5234.915203
obs_cycA__nuc_median	wt	0.355986001	5408.495456
obs_cycA__nuc_median	wt	0.266265977	5582.381594
obs_cycA__nuc_median	wt	0.254689212	5756.574643
obs_cycA__nuc_median	wt	0.327767589	5931.075697
obs_cycA__nuc_median	wt	0.311126036	6105.885919
obs_cycA__nuc_median	wt	0.437023546	6281.006335
obs_cycA__nuc_median	wt	0.375521839	6456.438108
obs_cycA__nuc_median	wt	0.44570612	6632.182332
obs_cycA__nuc_median	wt	0.376245435	6808.240102
obs_cycA__nuc_median	wt	0.438470642	6984.612511
