parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.005544006	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.006930007	1	0
kDpRb		log	1.39E-04	1.39E-02	0.001386001	1	0
kPhRb		log	2.08E-03	2.08E-01	0.020790021	1	0
kSyCe1		log	1.39E-06	1.39E-04	1.39E-05	1	0
kSyCe2		log	4.16E-01	4.16E+01	4.1580042	1	0
kDeCe		log	1.39E-05	1.39E-03	0.0001386	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	0.0003465	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.34650035	1	0
kSyE2f1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.69300069	1	0
kDeE2f1		log	6.93E-06	6.93E-04	6.93E-05	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.001386001	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.001386001	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.069300069	1	0
kSyEmi1		log	3.47E-06	3.47E-04	3.47E-05	1	0
kSyEmi2		log	3.47E-01	3.47E+01	3.4650035	1	0
kDeEmi1		log	3.47E-05	3.47E-03	0.0003465	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.0003465	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.003465004	1	0
kPhEmiA		log	3.47E-06	3.47E-04	3.47E-05	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.00017325	1	0
kDpEmi		log	3.47E-07	3.47E-05	3.47E-06	1	0
kSyCa1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.51975052	1	0
kDeCa1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.002772003	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.000693001	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.003465004	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.017325017	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.000693001	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.17325017	1	0
kDiACE		log	3.47E-05	3.47E-03	0.0003465	1	0
kAsACE		log	3.47E-02	3.47E+00	0.34650035	1	0
kDiACdh		log	3.47E-05	3.47E-03	0.0003465	1	0
kAsACdh		log	3.47E-02	3.47E+00	0.34650035	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.006930007	1	0
kPhCeE		log	6.93E-06	6.93E-04	6.93E-05	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.000693001	1	0
kPhFoxA		log	6.93E-05	6.93E-03	0.000693001	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.003465004	1	0
kDpFox		log	3.47E-06	3.47E-04	3.47E-05	1	0
kSyCb1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.51975052	1	0
kDeCb1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000866251	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.000866251	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.000693001	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.0003465	1	0
kPhGw		log	6.93E-04	6.93E-02	0.006930007	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.001732502	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.069300069	1	0
kWee1		log	6.93E-06	6.93E-04	6.93E-05	1	0
kWee2		log	6.93E-04	6.93E-02	0.006930007	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.000693001	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.006930007	1	0
kDpWee		log	6.93E-03	6.93E-01	0.069300069	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.000693001	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.006930007	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.069300069	1	0
kDipEB55		log	4.71E-06	4.71E-04	4.71E-05	1	0
kAspEB55		log	3.95E-02	3.95E+00	0.3950104	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	0.69300069	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	2.77E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	0.0002772	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.000866251	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.006930007	1	0
kPhApcA		log	6.93E-06	6.93E-04	6.93E-05	1	0
kDpApc		log	3.47E-03	3.47E-01	0.034650035	1	0
kSyFox1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.51975052	1	0
kDeFox1		log	6.93E-07	6.93E-05	6.93E-06	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.003465004	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.34650035	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.034650035	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.34650035	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.069300069	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	0.34650035	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	0.17325017	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.006930007	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.000554401	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.013860014	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.13860014	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	1	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.23224914	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.018479024	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	3.81E-05	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.007028495	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.001882363	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.071461332	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.000150539	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.087642687	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	0.84074544	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.077191625	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	4.0287133	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	0.22995279	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.069890078	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.063091065	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	0.71354419	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.000571341	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	0.16112308	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.10894131	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.000717816	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	2.21E-04	2.21E-02	0.002212547	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	1.36E-03	1.36E-01	0.013607533	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88E-06	1.88E-04	1.88E-05	1	0
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	5.56E-04	5.56E-02	0.005564734	1	0
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81E-05	3.81E-03	0.000381116	1	0
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	1.90E-08	1.90E-06	1.90E-07	1	0
ic_wt_cell__CCNB_promoter_FOXM1_		lin	9.98E-06	9.98E-04	9.98E-05	1	0
ic_wt_cell__CDC20_promoter_FOXM1_		lin	9.99E-06	9.99E-04	9.99E-05	1	0
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0.00E+00	7.62E-07	7.62E-08	1	0
ic_wt_cell__WEE1_Ser123u_		lin	9.80E-02	9.80E+00	0.98044163	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	7.51E-04	7.51E-02	0.007512915	1	0
ic_wt_cell__WEE1_Ser123p_		lin	1.96E-03	1.96E-01	0.019558367	1	0
ic_wt_cell__CDC25_pSitesp_		lin	1.84E-03	1.84E-01	0.018438067	1	0
ic_wt_cell__CDC25_pSitesu_		lin	9.82E-02	9.82E+00	0.98156193	1	0
ic_wt_cell__MASTL_Thr198u_		lin	9.98E-02	9.98E+00	0.99752571	1	0
ic_wt_cell__MASTL_Thr198p_		lin	2.47E-04	2.47E-02	0.002474295	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	8.27E-02	8.27E+00	0.82686306	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.29E-05	3.29E-03	0.000328561	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	1.73E-02	1.73E+00	0.17280837	1	0
ic_wt_cell__CCNE_promoter_E2F_		lin	8.45E-06	8.45E-04	8.45E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_		lin	8.45E-06	8.45E-04	8.45E-05	1	0
ic_wt_cell__E2F_promoter_E2F_		lin	8.45E-06	8.45E-04	8.45E-05	1	0
ic_wt_cell__FBXO5_promoter_E2F_		lin	8.45E-06	8.45E-04	8.45E-05	1	0
ic_wt_cell__FOXM1_promoter_E2F_		lin	8.45E-06	8.45E-04	8.45E-05	1	0
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	1.55E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	1.55E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	1.55E-06	1.55E-04	1.55E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	1.55E-06	1.55E-04	1.55E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	1.55E-06	1.55E-04	1.55E-05	1	0
ic_wt_cell__iWEE		lin	0.00E+00	0.00E+00	0	0	0
oCCNA		lin	0.00E+00	3.06E-01	0.254689212	1	0
oCCNB		lin	0.00E+00	5.35E-01	0.445775859	1	0
oCCNE		lin	0.00E+00	6.25E-01	0.520854696	1	0
oE2F		lin	0.00E+00	7.11E-01	0.592155646	1	0
oRB1_pSer807Ser811		lin	0.00E+00	9.24E-02	0.076966595	1	0
sCCNA		lin	2.00E-01	2.00E+01	2.00E+00	1	1
sCCNB		lin	2.00E-01	2.00E+01	2.00E+00	1	1
sCCNE		lin	2.00E-01	2.00E+01	2.00E+00	1	1
sE2F		lin	2.00E-01	2.00E+01	2.00E+00	1	1
sRB1_pSer807Ser811		lin	2.00E-01	2.00E+01	2.00E+00	1	1
noiseParameter1		lin	0.00E+00	0.00E+00	0.00E+00	0	0
noiseParameter2		lin	1.00E-02	1.00E+00	1.00E-01	0	0
