parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue_old	estimate	hierarchicalOptimization	nominalValue
kPhRbD		log	5.54E-04	5.54E-02	0.000554779	1	0	0.000555844
kPhRbE		log	6.93E-04	6.93E-02	0.000693	1	0	0.000732618
kDpRb		log	1.39E-04	1.39E-02	0.000319736	1	0	0.000274334
kPhRb		log	2.08E-03	2.08E-01	0.002376725	1	0	0.002155455
kSyCe1		log	1.39E-06	1.39E-04	0.000135654	1	0	0.000115703
kSyCe2		log	4.16E-01	4.16E+01	1.297074281	1	0	1.193881073
kDeCe		log	1.39E-05	1.39E-03	0.001390002	1	0	0.001321529
kDiE2fRb		log	3.47E-05	3.47E-03	3.63E-05	1	0	3.53562E-05
kAsE2fRb		log	3.47E-02	3.47E+00	0.0422064	1	0	0.040887717
kSyE2f1		log	6.93E-07	6.93E-05	1.67E-05	1	0	1.62818E-05
kSyE2f2		log	6.93E-02	6.93E+00	0.624207888	1	0	0.62335094
kDeE2f1		log	6.93E-06	6.93E-04	0.000236388	1	0	0.000237975
kDeE2f2		log	1.39E-04	1.39E-02	0.013822863	1	0	0.0139
kPhE2f		log	1.39E-04	1.39E-02	0.000907621	1	0	0.001105605
kDpE2f2		log	6.93E-03	6.93E-01	0.006980302	1	0	0.00693
kSyEmi1		log	3.47E-06	3.47E-04	3.47E-06	1	0	5.2538E-06
kSyEmi2		log	3.47E-01	3.47E+01	3.814322069	1	0	3.786899889
kDeEmi1		log	3.47E-05	3.47E-03	4.88E-05	1	0	4.26559E-05
kDeEmi2		log	3.47E-05	3.47E-03	0.001107115	1	0	0.000984885
kDeEmi3		log	3.47E-04	3.47E-02	0.031942584	1	0	0.000378084
kPhEmiA		log	3.47E-06	3.47E-04	3.73E-06	1	0	3.99555E-06
kPhEmiB		log	1.73E-05	1.73E-03	0.000624396	1	0	0.000584876
kDpEmi		log	3.47E-07	3.47E-05	2.08E-05	1	0	3.21478E-05
kSyCa1		log	6.93E-07	6.93E-05	1.25E-05	1	0	1.14849E-05
