	observableId	simulationConditionId	measurement	time
0	obs_cycA__nuc_median	wt	0.013284765	0
1	obs_cycA__nuc_median	wt	0.012693749	705
2	obs_cycA__nuc_median	wt	0.018039709	1410
3	obs_cycA__nuc_median	wt	0.018172479	2115
4	obs_cycA__nuc_median	wt	0.022006142	2820
5	obs_cycA__nuc_median	wt	0.023259627	3525
6	obs_cycA__nuc_median	wt	0.026437926	4230
7	obs_cycA__nuc_median	wt	0.030695483	4935
8	obs_cycA__nuc_median	wt	0.039160868	5640
9	obs_cycA__nuc_median	wt	0.045690658	6345
10	obs_cycA__nuc_median	wt	0.051757027	7050
11	obs_cycA__nuc_median	wt	0.059838451	7755
12	obs_cycA__nuc_median	wt	0.055401865	8460
13	obs_cycA__nuc_median	wt	0.058339327	9165
14	obs_cycA__nuc_median	wt	0.08297062	9870
15	obs_cycA__nuc_median	wt	0.092498493	10575
16	obs_cycA__nuc_median	wt	0.086553565	11280
17	obs_cycA__nuc_median	wt	0.090814617	11985
18	obs_cycA__nuc_median	wt	0.096095838	12690
19	obs_cycA__nuc_median	wt	0.132737219	13395
20	obs_cycA__nuc_median	wt	0.113515819	14100
21	obs_cycA__nuc_median	wt	0.114104699	14805
22	obs_cycA__nuc_median	wt	0.162211718	15510
23	obs_cycA__nuc_median	wt	0.149287082	16215
24	obs_cycA__nuc_median	wt	0.167510894	16920
25	obs_cycA__nuc_median	wt	0.172154217	17625
26	obs_cycA__nuc_median	wt	0.190187911	18330
27	obs_cycA__nuc_median	wt	0.159570865	19035
28	obs_cycA__nuc_median	wt	0.245733877	19740
29	obs_cycA__nuc_median	wt	0.232233646	20445
30	obs_cycA__nuc_median	wt	0.276643331	21150
31	obs_cycA__nuc_median	wt	0.327169771	21855
32	obs_cycA__nuc_median	wt	0.404947387	22560
33	obs_cycA__nuc_median	wt	0.355773578	23265
34	obs_cycA__nuc_median	wt	0.411713005	23970
35	obs_cycA__nuc_median	wt	0.358015389	24675
36	obs_cycA__nuc_median	wt	0.433476895	25380
37	obs_cycA__nuc_median	wt	0.438012592	26085
38	obs_cycA__nuc_median	wt	0.626177783	26790
39	obs_cycA__nuc_median	wt	0.674112916	27495
40	obs_cycA__nuc_median	wt	0.676603475	28200
41	obs_cycA__nuc_median	wt	0.516799214	28905
42	obs_cycA__nuc_median	wt	0.713919145	29610
43	obs_cycA__nuc_median	wt	0.711001751	30315
44	obs_cycA__nuc_median	wt	0.775447414	31020
45	obs_cycA__nuc_median	wt	0.996582857	31725
46	obs_cycA__nuc_median	wt	0.792103561	32430
47	obs_cycA__nuc_median	wt	0.831028731	33135
48	obs_cycA__nuc_median	wt	1.060994814	33840
49	obs_cycA__nuc_median	wt	1.099041283	34545
50	obs_cycA__nuc_median	wt	1.07999408	35250
51	obs_cycA__nuc_median	wt	1.165368991	35955
52	obs_cycA__nuc_median	wt	1.013306922	36660
53	obs_cycA__nuc_median	wt	1.145356747	37365
54	obs_cycA__nuc_median	wt	1.099586462	38070
55	obs_cycA__nuc_median	wt	0.968604036	38775
56	obs_cycA__nuc_median	wt	1.109325121	39480
57	obs_cycA__nuc_median	wt	1.138710522	40185
58	obs_cycA__nuc_median	wt	1.168738211	40890
59	obs_cycA__nuc_median	wt	1.423932575	41595
60	obs_cycA__nuc_median	wt	1.177808557	42300
61	obs_cycA__nuc_median	wt	1.353059649	43005
62	obs_cycA__nuc_median	wt	1.303757725	43710
63	obs_cycA__nuc_median	wt	1.476992594	44415
64	obs_cycA__nuc_median	wt	1.212484051	45120
65	obs_cycA__nuc_median	wt	1.473754837	45825
66	obs_cycA__nuc_median	wt	1.617803807	46530
67	obs_cycA__nuc_median	wt	1.359700333	47235
68	obs_cycA__nuc_median	wt	1.190076306	47940
69	obs_cycA__nuc_median	wt	1.484938258	48645
70	obs_cycA__nuc_median	wt	1.483443906	49350
71	obs_cycA__nuc_median	wt	1.604404546	50055
72	obs_cycA__nuc_median	wt	1.292905165	50760
73	obs_cycA__nuc_median	wt	1.691921288	51465
74	obs_cycA__nuc_median	wt	1.584321303	52170
75	obs_cycA__nuc_median	wt	1.405795243	52875
76	obs_cycA__nuc_median	wt	1.518327489	53580
77	obs_cycA__nuc_median	wt	1.499254145	54285
78	obs_cycA__nuc_median	wt	1.399651688	54990
79	obs_cycA__nuc_median	wt	1.312993537	55695
80	obs_cycA__nuc_median	wt	1.110263063	56400
81	obs_cycA__nuc_median	wt	0.839375466	57105
82	obs_cycA__nuc_median	wt	0.71167391	57810
83	obs_cycA__nuc_median	wt	0.422407184	58515
84	obs_cycA__nuc_median	wt	0.313998196	59220
85	obs_cycA__nuc_median	wt	0.212018862	59925
86	obs_cycA__nuc_median	wt	0.171450154	60630
87	obs_cycA__nuc_median	wt	0.105934473	61335
88	obs_cycA__nuc_median	wt	0.099555452	62040
89	obs_cycA__nuc_median	wt	0.055424924	62745
90	obs_cycA__nuc_median	wt	0.036421912	63450
91	obs_cycA__nuc_median	wt	0.0278365	64155
92	obs_cycA__nuc_median	wt	0.019610147	64860
93	obs_cycA__nuc_median	wt	0.018885168	65565
94	obs_cycA__nuc_median	wt	0.017038116	66270
95	obs_cycA__nuc_median	wt	0.015148619	66975
96	obs_cycA__nuc_median	wt	0.01460197	67680
97	obs_cycA__nuc_median	wt	0.014128871	68385
98	obs_cycA__nuc_median	wt	0.011942353	69090
99	obs_cycA__nuc_median	wt	0.012135018	69795
100	obs_cycA__nuc_median	wt	0.01287104	70500
101	obs_cycB1__nuc_median	wt	0.017658831	0
102	obs_cycB1__nuc_median	wt	0.02150853	705
103	obs_cycB1__nuc_median	wt	0.017203451	1410
104	obs_cycB1__nuc_median	wt	0.021744275	2115
105	obs_cycB1__nuc_median	wt	0.020757482	2820
106	obs_cycB1__nuc_median	wt	0.02458131	3525
107	obs_cycB1__nuc_median	wt	0.024063782	4230
108	obs_cycB1__nuc_median	wt	0.025221137	4935
109	obs_cycB1__nuc_median	wt	0.028032055	5640
110	obs_cycB1__nuc_median	wt	0.0263709	6345
111	obs_cycB1__nuc_median	wt	0.03239528	7050
112	obs_cycB1__nuc_median	wt	0.031849667	7755
113	obs_cycB1__nuc_median	wt	0.024174203	8460
114	obs_cycB1__nuc_median	wt	0.039059939	9165
115	obs_cycB1__nuc_median	wt	0.043948855	9870
116	obs_cycB1__nuc_median	wt	0.036422862	10575
117	obs_cycB1__nuc_median	wt	0.057361314	11280
118	obs_cycB1__nuc_median	wt	0.054084185	11985
119	obs_cycB1__nuc_median	wt	0.051951165	12690
120	obs_cycB1__nuc_median	wt	0.05860718	13395
121	obs_cycB1__nuc_median	wt	0.069310019	14100
122	obs_cycB1__nuc_median	wt	0.072729967	14805
123	obs_cycB1__nuc_median	wt	0.077544652	15510
124	obs_cycB1__nuc_median	wt	0.095914199	16215
125	obs_cycB1__nuc_median	wt	0.093288956	16920
126	obs_cycB1__nuc_median	wt	0.090942286	17625
127	obs_cycB1__nuc_median	wt	0.108393566	18330
128	obs_cycB1__nuc_median	wt	0.118892291	19035
129	obs_cycB1__nuc_median	wt	0.14449335	19740
130	obs_cycB1__nuc_median	wt	0.154299001	20445
131	obs_cycB1__nuc_median	wt	0.199104413	21150
132	obs_cycB1__nuc_median	wt	0.195156443	21855
133	obs_cycB1__nuc_median	wt	0.181100027	22560
134	obs_cycB1__nuc_median	wt	0.238601157	23265
135	obs_cycB1__nuc_median	wt	0.24132547	23970
136	obs_cycB1__nuc_median	wt	0.260032813	24675
137	obs_cycB1__nuc_median	wt	0.315424775	25380
138	obs_cycB1__nuc_median	wt	0.382952183	26085
139	obs_cycB1__nuc_median	wt	0.404331109	26790
140	obs_cycB1__nuc_median	wt	0.42577216	27495
141	obs_cycB1__nuc_median	wt	0.46418415	28200
142	obs_cycB1__nuc_median	wt	0.446523327	28905
143	obs_cycB1__nuc_median	wt	0.47416542	29610
144	obs_cycB1__nuc_median	wt	0.544571076	30315
145	obs_cycB1__nuc_median	wt	0.64811872	31020
146	obs_cycB1__nuc_median	wt	0.675727441	31725
147	obs_cycB1__nuc_median	wt	0.753560176	32430
148	obs_cycB1__nuc_median	wt	0.754238694	33135
149	obs_cycB1__nuc_median	wt	0.689277451	33840
150	obs_cycB1__nuc_median	wt	0.920669392	34545
151	obs_cycB1__nuc_median	wt	1.073297487	35250
152	obs_cycB1__nuc_median	wt	0.896692164	35955
153	obs_cycB1__nuc_median	wt	0.88934855	36660
154	obs_cycB1__nuc_median	wt	0.985971038	37365
155	obs_cycB1__nuc_median	wt	0.963825327	38070
156	obs_cycB1__nuc_median	wt	1.146682649	38775
157	obs_cycB1__nuc_median	wt	1.084116207	39480
158	obs_cycB1__nuc_median	wt	0.986572033	40185
159	obs_cycB1__nuc_median	wt	1.352588119	40890
160	obs_cycB1__nuc_median	wt	1.210539213	41595
161	obs_cycB1__nuc_median	wt	1.058625356	42300
162	obs_cycB1__nuc_median	wt	1.371449713	43005
163	obs_cycB1__nuc_median	wt	1.245485205	43710
164	obs_cycB1__nuc_median	wt	1.048864169	44415
165	obs_cycB1__nuc_median	wt	1.445177469	45120
166	obs_cycB1__nuc_median	wt	1.540941243	45825
167	obs_cycB1__nuc_median	wt	1.508959511	46530
168	obs_cycB1__nuc_median	wt	1.72139701	47235
169	obs_cycB1__nuc_median	wt	1.38996386	47940
170	obs_cycB1__nuc_median	wt	1.608576995	48645
171	obs_cycB1__nuc_median	wt	1.584893488	49350
172	obs_cycB1__nuc_median	wt	1.805385	50055
173	obs_cycB1__nuc_median	wt	1.312798894	50760
174	obs_cycB1__nuc_median	wt	1.6663562	51465
175	obs_cycB1__nuc_median	wt	1.57060916	52170
176	obs_cycB1__nuc_median	wt	1.486035959	52875
177	obs_cycB1__nuc_median	wt	1.580390603	53580
178	obs_cycB1__nuc_median	wt	1.47943943	54285
179	obs_cycB1__nuc_median	wt	1.80308769	54990
180	obs_cycB1__nuc_median	wt	1.550066571	55695
181	obs_cycB1__nuc_median	wt	1.249188742	56400
182	obs_cycB1__nuc_median	wt	1.128344889	57105
183	obs_cycB1__nuc_median	wt	0.802202478	57810
184	obs_cycB1__nuc_median	wt	0.496322681	58515
185	obs_cycB1__nuc_median	wt	0.531485251	59220
186	obs_cycB1__nuc_median	wt	0.316454885	59925
187	obs_cycB1__nuc_median	wt	0.248309136	60630
188	obs_cycB1__nuc_median	wt	0.212138631	61335
189	obs_cycB1__nuc_median	wt	0.186622992	62040
190	obs_cycB1__nuc_median	wt	0.145931621	62745
191	obs_cycB1__nuc_median	wt	0.112275603	63450
192	obs_cycB1__nuc_median	wt	0.090020381	64155
193	obs_cycB1__nuc_median	wt	0.089326562	64860
194	obs_cycB1__nuc_median	wt	0.059457317	65565
195	obs_cycB1__nuc_median	wt	0.046001658	66270
196	obs_cycB1__nuc_median	wt	0.034187523	66975
197	obs_cycB1__nuc_median	wt	0.027314263	67680
198	obs_cycB1__nuc_median	wt	0.02495836	68385
199	obs_cycB1__nuc_median	wt	0.018472419	69090
200	obs_cycB1__nuc_median	wt	0.016500945	69795
201	obs_cycB1__nuc_median	wt	0.01647441	70500
202	obs_cycE__nuc_median	wt	0.456788235	0
203	obs_cycE__nuc_median	wt	0.578935005	705
204	obs_cycE__nuc_median	wt	0.607405429	1410
205	obs_cycE__nuc_median	wt	0.619930384	2115
206	obs_cycE__nuc_median	wt	0.733970967	2820
207	obs_cycE__nuc_median	wt	0.795350508	3525
208	obs_cycE__nuc_median	wt	0.920196811	4230
209	obs_cycE__nuc_median	wt	0.905959362	4935
210	obs_cycE__nuc_median	wt	1.185660447	5640
211	obs_cycE__nuc_median	wt	1.071915092	6345
212	obs_cycE__nuc_median	wt	1.048683266	7050
213	obs_cycE__nuc_median	wt	1.205210971	7755
214	obs_cycE__nuc_median	wt	1.195024494	8460
215	obs_cycE__nuc_median	wt	1.22367783	9165
216	obs_cycE__nuc_median	wt	1.269658457	9870
217	obs_cycE__nuc_median	wt	1.236044563	10575
218	obs_cycE__nuc_median	wt	1.47600978	11280
219	obs_cycE__nuc_median	wt	1.505376618	11985
220	obs_cycE__nuc_median	wt	1.160070916	12690
221	obs_cycE__nuc_median	wt	1.150977883	13395
222	obs_cycE__nuc_median	wt	1.260259115	14100
223	obs_cycE__nuc_median	wt	1.041846886	14805
224	obs_cycE__nuc_median	wt	0.947781218	15510
225	obs_cycE__nuc_median	wt	0.978304377	16215
226	obs_cycE__nuc_median	wt	0.793866716	16920
227	obs_cycE__nuc_median	wt	0.931816271	17625
228	obs_cycE__nuc_median	wt	0.824181745	18330
229	obs_cycE__nuc_median	wt	0.894553556	19035
230	obs_cycE__nuc_median	wt	0.909608876	19740
231	obs_cycE__nuc_median	wt	0.705700981	20445
232	obs_cycE__nuc_median	wt	0.75359438	21150
233	obs_cycE__nuc_median	wt	0.618609436	21855
234	obs_cycE__nuc_median	wt	0.531607401	22560
235	obs_cycE__nuc_median	wt	0.546078033	23265
236	obs_cycE__nuc_median	wt	0.558110173	23970
237	obs_cycE__nuc_median	wt	0.523881748	24675
238	obs_cycE__nuc_median	wt	0.369343467	25380
239	obs_cycE__nuc_median	wt	0.374209198	26085
240	obs_cycE__nuc_median	wt	0.376784594	26790
241	obs_cycE__nuc_median	wt	0.35367389	27495
242	obs_cycE__nuc_median	wt	0.322417229	28200
243	obs_cycE__nuc_median	wt	0.323180306	28905
244	obs_cycE__nuc_median	wt	0.289471989	29610
245	obs_cycE__nuc_median	wt	0.253468608	30315
246	obs_cycE__nuc_median	wt	0.296049775	31020
247	obs_cycE__nuc_median	wt	0.233868813	31725
248	obs_cycE__nuc_median	wt	0.203805717	32430
249	obs_cycE__nuc_median	wt	0.196787761	33135
250	obs_cycE__nuc_median	wt	0.218569845	33840
251	obs_cycE__nuc_median	wt	0.180332786	34545
252	obs_cycE__nuc_median	wt	0.213711085	35250
253	obs_cycE__nuc_median	wt	0.182761039	35955
254	obs_cycE__nuc_median	wt	0.200778605	36660
255	obs_cycE__nuc_median	wt	0.191780144	37365
256	obs_cycE__nuc_median	wt	0.159656389	38070
257	obs_cycE__nuc_median	wt	0.173801703	38775
258	obs_cycE__nuc_median	wt	0.151935586	39480
259	obs_cycE__nuc_median	wt	0.17592623	40185
260	obs_cycE__nuc_median	wt	0.16965326	40890
261	obs_cycE__nuc_median	wt	0.159200693	41595
262	obs_cycE__nuc_median	wt	0.140803794	42300
263	obs_cycE__nuc_median	wt	0.165370761	43005
264	obs_cycE__nuc_median	wt	0.180710537	43710
265	obs_cycE__nuc_median	wt	0.125688842	44415
266	obs_cycE__nuc_median	wt	0.147923338	45120
267	obs_cycE__nuc_median	wt	0.131626268	45825
268	obs_cycE__nuc_median	wt	0.097828488	46530
269	obs_cycE__nuc_median	wt	0.123086523	47235
270	obs_cycE__nuc_median	wt	0.125660358	47940
271	obs_cycE__nuc_median	wt	0.138994844	48645
272	obs_cycE__nuc_median	wt	0.152714858	49350
273	obs_cycE__nuc_median	wt	0.128255917	50055
274	obs_cycE__nuc_median	wt	0.116513988	50760
275	obs_cycE__nuc_median	wt	0.113607533	51465
276	obs_cycE__nuc_median	wt	0.116178422	52170
277	obs_cycE__nuc_median	wt	0.135687615	52875
278	obs_cycE__nuc_median	wt	0.142168316	53580
279	obs_cycE__nuc_median	wt	0.121233203	54285
280	obs_cycE__nuc_median	wt	0.117450926	54990
281	obs_cycE__nuc_median	wt	0.098792846	55695
282	obs_cycE__nuc_median	wt	0.073427117	56400
283	obs_cycE__nuc_median	wt	0.063345551	57105
284	obs_cycE__nuc_median	wt	0.057175583	57810
285	obs_cycE__nuc_median	wt	0.060630369	58515
286	obs_cycE__nuc_median	wt	0.046302644	59220
287	obs_cycE__nuc_median	wt	0.061821709	59925
288	obs_cycE__nuc_median	wt	0.068250701	60630
289	obs_cycE__nuc_median	wt	0.085804915	61335
290	obs_cycE__nuc_median	wt	0.082208389	62040
291	obs_cycE__nuc_median	wt	0.121152177	62745
292	obs_cycE__nuc_median	wt	0.145614778	63450
293	obs_cycE__nuc_median	wt	0.156910825	64155
294	obs_cycE__nuc_median	wt	0.177950542	64860
295	obs_cycE__nuc_median	wt	0.177655641	65565
296	obs_cycE__nuc_median	wt	0.283970348	66270
297	obs_cycE__nuc_median	wt	0.281931437	66975
298	obs_cycE__nuc_median	wt	0.314343118	67680
299	obs_cycE__nuc_median	wt	0.277552577	68385
300	obs_cycE__nuc_median	wt	0.407347451	69090
301	obs_cycE__nuc_median	wt	0.374484496	69795
302	obs_cycE__nuc_median	wt	0.463615335	70500
