fx,time(s)
6018.6,1.5175
6018.6,1.5186
6018.6,1.5199
6018.6,1.5326
6018.6,1.5338
6018.6,1.5377
6018.6,1.5406
6018.6,1.5424
6018.6,1.5443
6018.6,1.5455
6018.6,1.5467
6018.6,1.548
6018.6,1.5481
6018.6,1.5531
6018.6,1.5546
6018.6,1.5555
6018.6,1.5558
6018.6,1.5571
6018.6,1.5581
6018.6,1.5582
6018.6,1.5609
6018.6,1.5681
6018.6,1.5715
6018.6,2.7896
6018.6,4.1024
5734,4.378
5734,4.3786
3717.6,4.9642
3717.6,6.3668
3717.6,6.4002
3717.6,6.4024
3717.6,8.0764
3717.6,8.1626
3717.6,9.5344
3717.6,9.5354
3717.6,11.037
3717.6,12.385
3717.6,12.385
3717.6,12.456
3717.6,12.457
3717.6,12.68
3717.6,13.833
3717.6,13.834
3717.6,13.983
3717.6,13.984
3717.6,14.237
3717.6,14.412
3717.6,17.322
3717.6,17.324
3717.6,17.385
3717.6,17.387
3717.6,19.001
3717.6,19.002
3205.9,20.364
3205.9,20.38
3205.9,20.381
3205.9,20.816
3205.9,20.819
3205.9,22.851
3205.9,22.852
3205.9,22.971
3205.9,22.972
3205.9,23.024
3205.9,23.545
3205.9,24.609
3205.9,24.612
3205.9,25.005
3205.9,25.006
3205.9,26.115
3205.9,26.519
3205.9,26.52
2318.9,26.617
2318.9,27.35
2318.9,27.61
2318.9,27.611
2318.9,29.001
2318.9,29.003
2318.9,29.965
2318.9,29.966
2318.9,32.703
2318.9,33.05
2318.9,33.453
2318.9,33.454
2318.9,33.594
2318.9,33.595
2318.9,33.746
2318.9,33.747
2318.9,34.238
2318.9,34.238
2318.9,34.383
2318.9,34.384
2318.9,36.025
2318.9,36.026
2318.9,38.521
2318.9,38.523
2318.9,39.256
1627.7,39.746
1627.7,40.434
1627.7,44.18
1627.7,44.188
1627.7,44.19
1627.7,44.425
1011,44.606
1011,45.072
1011,45.073
1011,45.546
1011,47.023
1011,47.024
1011,47.479
1011,48.626
914.5,49.553
914.5,50.775
914.5,51.908
914.5,53.145
914.5,53.146
914.5,53.351
886.28,55.117
886.28,55.16
886.28,55.897
886.28,56.206
886.28,58.396
732.09,59.457
732.09,60.452
732.09,60.453
732.09,63.157
732.09,64.633
732.09,64.669
732.09,64.693
732.09,64.922
732.09,65.788
732.09,65.969
732.09,65.97
732.09,66.104
732.09,66.185
732.09,66.655
585.14,67.211
494.76,69.403
494.76,70.351
494.76,70.368
494.76,71.569
494.76,74.075
356.57,74.394
356.57,75.567
356.57,76.953
356.57,77.317
356.57,77.579
356.57,78.376
356.57,79.45
34.732,79.503
34.732,80.664
34.732,80.96
34.732,83.373
34.732,83.374
34.732,83.911
34.732,85.177
34.732,87.339
34.732,87.916
34.732,87.94
34.732,88.068
34.732,88.168
34.732,88.795
34.732,90.69
34.732,93.363
21.968,94.902
21.968,96.352
21.968,96.354
21.968,96.783
21.968,97.058
-92,98.511
-92,98.665
-92,98.978
-92,99.368
-92,100.16
-92,100.16
-92,100.48
-92,100.84
-92,101.64
-92,103.78
-92,105
-289.85,105.13
-289.85,105.4
-289.85,105.53
-289.85,105.86
-289.85,105.87
-289.85,108.55
-289.85,109.85
-289.85,111.86
-289.85,113.14
-289.85,113.48
-289.85,116.87
-289.85,116.99
-289.85,124.62
-289.85,124.62
-289.85,129.97
-289.85,132.22
-289.85,161.46
-289.85,166.91
-289.85,169.61
-289.85,169.61
-306.3,177.76
-306.3,178.91
-306.3,178.91
-306.3,179.3
-306.3,179.51
-306.3,180.62
-309.07,183.39
-309.07,185.02
-309.07,185.96
-309.07,186.13
-309.07,188.91
-309.07,191.45
-309.07,192.74
-312.82,194.73
-312.82,195.81
-312.82,197.31
-312.82,197.92
-312.82,198.39
-312.82,199.94
-312.82,200.22
-312.82,200.44
-312.82,200.63
-312.82,201.08
-312.82,202.34
-312.82,202.34
-312.82,202.47
-312.82,202.67
-312.82,204.35
-317.7,205.96
-317.7,206.3
-317.7,207.55
-317.7,208.06
-317.7,212.81
-317.7,213.44
-317.7,213.67
-317.7,213.68
-317.7,216.47
-317.7,216.53
-318.55,217.1
-318.55,222.41
-328.53,222.73
-328.53,222.74
-328.53,222.76
-328.53,223.91
-328.53,224.89
-328.53,227.34
-328.53,227.34
-328.53,227.91
-328.53,228.05
-328.53,229.84
-328.53,229.91
-328.53,231.81
-328.53,231.85
-328.53,231.85
-328.53,234.49
-328.53,235.32
-328.53,238.39
-329.29,239.63
-329.29,241.65
-329.29,243.37
-329.29,243.7
-329.29,244.52
-329.29,245.21
-329.29,246.15
-329.29,247.83
-329.29,248.29
-329.29,250.49
-335.66,250.93
-335.66,252.67
-335.66,253.72
-335.66,254.02
-335.66,254.31
-335.66,255.75
-335.66,255.76
-336.62,256.53
-336.62,258.03
-336.62,259
-336.62,260.11
-336.62,261.09
-336.62,261.38
-336.62,261.85
-336.62,262.13
-336.62,263.59
-336.62,266.17
-338.01,267.95
-338.01,269.51
-338.01,269.67
-338.01,269.72
-338.01,269.78
-338.01,271.6
-338.01,272
-338.01,272.7
-338.01,272.92
-342.82,273.69
-342.82,273.85
-342.82,275.1
-342.82,275.14
-342.82,277.52
-342.82,277.54
-342.82,278.3
-344.75,279.45
-344.75,279.8
-344.75,280.49
-344.75,282.44
-344.75,282.75
-344.75,283.08
-344.75,283.89
-350.52,285.17
-350.52,285.41
-350.52,285.67
-350.52,285.93
-350.52,287.05
-350.52,287.76
-350.52,288.69
-350.52,288.98
-350.52,289.57
-350.52,290.34
-350.52,295.79
-350.52,297.71
-350.52,300.47
-350.52,303.07
-350.52,304.91
-351.56,307.79
-351.56,307.87
-351.56,308.99
-351.56,309.17
-351.56,309.67
-351.56,311.21
-351.56,312.12
-355.69,313.43
-355.69,314.18
-355.69,314.6
-355.69,316.83
