observableId	simulationConditionId	measurement	time
obs_cycA__nuc_median	wt	0.760224341	0
obs_cycA__nuc_median	wt	0.619988707	164.6044632
obs_cycA__nuc_median	wt	0.634750419	329.4838944
obs_cycA__nuc_median	wt	0.673130618	494.6393196
obs_cycA__nuc_median	wt	0.556513665	660.071628
obs_cycA__nuc_median	wt	0.413325805	825.7817088
obs_cycA__nuc_median	wt	0.463515393	991.770588
obs_cycA__nuc_median	wt	0.321803694	1158.039086
obs_cycA__nuc_median	wt	1.018552993	1324.58823
obs_cycA__nuc_median	wt	0.618512546	1491.418908
obs_cycA__nuc_median	wt	0.823699383	1658.532146
obs_cycA__nuc_median	wt	0.535847404	1825.928903
obs_cycA__nuc_median	wt	0.420706612	1993.610066
obs_cycA__nuc_median	wt	0.487133977	2161.576595
obs_cycA__nuc_median	wt	0.453920295	2329.829582
obs_cycA__nuc_median	wt	0.46056307	2498.369918
obs_cycA__nuc_median	wt	0.729962885	2667.198629
obs_cycA__nuc_median	wt	0.439896809	2836.316603
obs_cycA__nuc_median	wt	0.569799119	3005.725003
obs_cycA__nuc_median	wt	0.622202998	3175.424651
obs_cycA__nuc_median	wt	0.340993794	3345.41664
obs_cycA__nuc_median	wt	0.407421159	3515.702065
obs_cycA__nuc_median	wt	0.4900863	3686.281747
obs_cycA__nuc_median	wt	0.581608508	3857.156849
obs_cycA__nuc_median	wt	0.494514785	4028.328328
obs_cycA__nuc_median	wt	0.500419528	4199.797278
obs_cycA__nuc_median	wt	0.289328044	4371.564658
obs_cycA__nuc_median	wt	0.283423398	4543.631561
obs_cycA__nuc_median	wt	0.524776144	4715.999014
obs_cycA__nuc_median	wt	0.305565917	4888.668042
obs_cycA__nuc_median	wt	0.296708852	5061.63974
obs_cycA__nuc_median	wt	0.330660663	5234.915203
obs_cycA__nuc_median	wt	0.296708852	5408.495456
obs_cycA__nuc_median	wt	0.29523269	5582.381594
obs_cycA__nuc_median	wt	0.525514273	5756.574643
obs_cycA__nuc_median	wt	0.305565917	5931.075697
obs_cycA__nuc_median	wt	0.42808742	6105.885919
obs_cycA__nuc_median	wt	0.296708852	6281.006335
obs_cycA__nuc_median	wt	0.34689844	6456.438108
obs_cycA__nuc_median	wt	0.407421159	6632.182332
obs_cycA__nuc_median	wt	0.557989827	6808.240102
obs_cycA__nuc_median	wt	0.386754897	6984.612511
obs_cycA__nuc_median	wt	0.320327532	7161.300724
obs_cycA__nuc_median	wt	0.321803694	7338.305833
obs_cycA__nuc_median	wt	0.386754897	7515.629071
obs_cycA__nuc_median	wt	0.34689844	7693.271464
obs_cycA__nuc_median	wt	0.488610139	7871.234242
obs_cycA__nuc_median	wt	0.333612986	8049.518568
obs_cycA__nuc_median	wt	0.354279247	8228.125606
obs_cycA__nuc_median	wt	0.414801966	8407.056449
obs_cycA__nuc_median	wt	0.548394825	8586.312329
obs_cycA__nuc_median	wt	0.304089756	8765.894408
obs_cycA__nuc_median	wt	0.302613498	8945.803987
obs_cycA__nuc_median	wt	0.40889732	9126.042091
obs_cycA__nuc_median	wt	0.253900168	9306.61002
obs_cycA__nuc_median	wt	0.417754289	9487.508936
obs_cycA__nuc_median	wt	0.373469444	9668.740072
obs_cycA__nuc_median	wt	0.550609019	9850.304725
obs_cycA__nuc_median	wt	0.299661175	10032.20399
obs_cycA__nuc_median	wt	0.311470563	10214.43924
obs_cycA__nuc_median	wt	0.375683638	10397.01156
obs_cycA__nuc_median	wt	0.355017376	10579.9224
obs_cycA__nuc_median	wt	0.311470563	10763.17284
obs_cycA__nuc_median	wt	0.333612986	10946.76425
obs_cycA__nuc_median	wt	0.491562558	11130.6978
