observableId	observableName	observableFormula	noiseFormula	observableTransformation	noiseDistribution
obs_cycA__nuc_median		oCCNA + sCCNA * _cell__CCNA	noiseParameter1 + noiseParameter2 * obs_cycA__nuc_median * noiseParameter1_obs_cycA__nuc_median	lin	normal
obs_cycB1__nuc_median		oCCNB + sCCNB * (_cell__CCNB_CDK1_Thr14_Tyr15u_ + _cell__CCNB_CDK1_Thr14_Tyr15p_)	noiseParameter1 + noiseParameter2 * obs_cycB1__nuc_median * noiseParameter1_obs_cycB1__nuc_median	lin	normal
obs_cycE__nuc_median		oCCNE + sCCNE * _cell__CCNE	noiseParameter1 + noiseParameter2 * obs_cycE__nuc_median * noiseParameter1_obs_cycE__nuc_median	lin	normal
obs_E2F1__nuc_median		oE2F + sE2F * (_cell__E2F_DBD_RB1_Ser332u_ + _cell__E2F_DBD_RB1_Ser332p_ + _cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_ + _cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_ + _cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_ + _cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_ + _cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_)	noiseParameter1 + noiseParameter2 * obs_E2F1__nuc_median * noiseParameter1_obs_E2F1__nuc_median	lin	normal
obs_pRB__nuc_median		oRB1_pSer807Ser811 + sRB1_pSer807Ser811 * (_cell__RB1_E2F_Ser807_Ser811p_)	noiseParameter1 + noiseParameter2 * obs_pRB__nuc_median * noiseParameter1_obs_pRB__nuc_median	lin	normal
spec_cell__CCND		_cell__CCND	1	lin	normal
spec_cell__CCNE		_cell__CCNE	1	lin	normal
spec_cell__E2F_DBD_RB1_Ser332u_		_cell__E2F_DBD_RB1_Ser332u_	1	lin	normal
spec_cell__E2F_DBD_RB1_Ser332p_		_cell__E2F_DBD_RB1_Ser332p_	1	lin	normal
spec_cell__CCNA		_cell__CCNA	1	lin	normal
spec_cell__CCNB_CDK1_Thr14_Tyr15u_		_cell__CCNB_CDK1_Thr14_Tyr15u_	1	lin	normal
spec_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_	1	lin	normal
spec_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_	1	lin	normal
spec_cell__RB1_E2F_Ser807_Ser811u_		_cell__RB1_E2F_Ser807_Ser811u_	1	lin	normal
spec_cell__RB1_E2F_Ser807_Ser811p_		_cell__RB1_E2F_Ser807_Ser811p_	1	lin	normal
spec_cell__PPP2R2B_ENSA_ARPP19_		_cell__PPP2R2B_ENSA_ARPP19_	1	lin	normal
spec_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		_cell__APC_FBXO5_FZR1_CDC20_Ser355u_	1	lin	normal
spec_cell__CDC20_APC_		_cell__CDC20_APC_	1	lin	normal
spec_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_	1	lin	normal
spec_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		_cell__APC_FBXO5_FZR1_CDC20_Ser355p_	1	lin	normal
spec_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_	1	lin	normal
spec_cell__FZR1_APC_FBXO5_nTermu_		_cell__FZR1_APC_FBXO5_nTermu_	1	lin	normal
spec_cell__FZR1_APC_FBXO5_nTermp_		_cell__FZR1_APC_FBXO5_nTermp_	1	lin	normal
spec_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_	1	lin	normal
spec_cell__FBXO5_APC_FZR1_Ser182u_		_cell__FBXO5_APC_FZR1_Ser182u_	1	lin	normal
spec_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_	1	lin	normal
spec_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_	1	lin	normal
spec_cell__FBXO5_APC_FZR1_Ser182p_		_cell__FBXO5_APC_FZR1_Ser182p_	1	lin	normal
spec_cell__FOXM1_DBD_Thr600u_		_cell__FOXM1_DBD_Thr600u_	1	lin	normal
spec_cell__FOXM1_DBD_Thr600p_		_cell__FOXM1_DBD_Thr600p_	1	lin	normal
spec_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_	1	lin	normal
spec_cell__CCNB_promoter_FOXM1_		_cell__CCNB_promoter_FOXM1_	1	lin	normal
spec_cell__CDC20_promoter_FOXM1_		_cell__CDC20_promoter_FOXM1_	1	lin	normal
spec_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_	1	lin	normal
spec_cell__WEE1_Ser123u_		_cell__WEE1_Ser123u_	1	lin	normal
spec_cell__CCNB_CDK1_Thr14_Tyr15p_		_cell__CCNB_CDK1_Thr14_Tyr15p_	1	lin	normal
spec_cell__WEE1_Ser123p_		_cell__WEE1_Ser123p_	1	lin	normal
spec_cell__CDC25_pSitesp_		_cell__CDC25_pSitesp_	1	lin	normal
spec_cell__CDC25_pSitesu_		_cell__CDC25_pSitesu_	1	lin	normal
spec_cell__MASTL_Thr198u_		_cell__MASTL_Thr198u_	1	lin	normal
spec_cell__MASTL_Thr198p_		_cell__MASTL_Thr198p_	1	lin	normal
