parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters	
kPhRbD		log	0.000554401	0.055440055	0.005544006	1	0	uniform		
kPhRbE		log	0.000693001	0.069300069	0.006930007	1	0	uniform		
kDpRb		log	0.0001386	0.013860014	0.001386001	1	0	uniform		
kPhRb		log	0.002079002	0.20790021	0.020790021	1	0	uniform		
kSyCe1		log	1.386E-06	0.0001386	1.39E-05	1	0	uniform		
kSyCe2		log	0.41580042	41.580042	4.1580042	1	0	uniform		
kDeCe		log	1.386E-05	0.001386001	0.0001386	1	0	uniform		
kDiE2fRb		log	3.465E-05	0.003465004	0.0003465	1	0	uniform		
kAsE2fRb		log	0.034650035	3.4650035	0.34650035	1	0	uniform		
kSyE2f1		log	6.93001E-07	6.93001E-05	6.93E-06	1	0	uniform		
kSyE2f2		log	0.069300069	6.9300069	0.69300069	1	0	uniform		
kDeE2f1		log	6.93001E-06	0.000693001	6.93E-05	1	0	uniform		
kDeE2f2		log	0.0001386	0.013860014	0.001386001	1	0	uniform		
kPhE2f		log	0.0001386	0.013860014	0.001386001	1	0	uniform		
kDpE2f2		log	0.006930007	0.69300069	0.069300069	1	0	uniform		
kSyEmi1		log	3.465E-06	0.0003465	3.47E-05	1	0	uniform		
kSyEmi2		log	0.34650035	34.650035	3.4650035	1	0	uniform		
kDeEmi1		log	3.465E-05	0.003465004	0.0003465	1	0	uniform		
kDeEmi2		log	3.465E-05	0.003465004	0.0003465	1	0	uniform		
kDeEmi3		log	0.0003465	0.034650035	0.003465004	1	0	uniform		
kPhEmiA		log	3.465E-06	0.0003465	3.47E-05	1	0	uniform		
kPhEmiB		log	1.7325E-05	0.001732502	0.00017325	1	0	uniform		
kDpEmi		log	3.465E-07	3.465E-05	3.47E-06	1	0	uniform		
kSyCa1		log	6.93001E-07	6.93001E-05	6.93E-06	1	0	uniform		
kSyCa2		log	0.051975052	5.1975052	0.51975052	1	0	uniform		
kDeCa1		log	6.93001E-07	6.93001E-05	6.93E-06	1	0	uniform		
kDeCa2		log	0.0002772	0.027720028	0.002772003	1	0	uniform		
kDeCa3		log	6.93001E-05	0.006930007	0.000693001	1	0	uniform		
kDpCdh		log	0.0003465	0.034650035	0.003465004	1	0	uniform		
kPhCdhA		log	0.001732502	0.17325017	0.017325017	1	0	uniform		
kPhCdhE		log	6.93001E-05	0.006930007	0.000693001	1	0	uniform		
kPhCdhB		log	0.017325017	1.7325017	0.17325017	1	0	uniform		
kDiACE		log	3.465E-05	0.003465004	0.0003465	1	0	uniform		
kAsACE		log	0.034650035	3.4650035	0.34650035	1	0	uniform		
kDiACdh		log	3.465E-05	0.003465004	0.0003465	1	0	uniform		
kAsACdh		log	0.034650035	3.4650035	0.34650035	1	0	uniform		
kPhCeA		log	0.000693001	0.069300069	0.006930007	1	0	uniform		
kPhCeE		log	6.93001E-06	0.000693001	6.93E-05	1	0	uniform		
kPhFoxE		log	6.93001E-05	0.006930007	0.000693001	1	0	uniform		
kPhFoxA		log	6.93001E-05	0.006930007	0.000693001	1	0	uniform		
