fx,time(s)
3.27E+03,5.60E+00
3.27E+03,5.61E+00
3.27E+03,5.61E+00
3.27E+03,5.61E+00
3.27E+03,5.62E+00
3.27E+03,5.65E+00
3.27E+03,5.67E+00
3.27E+03,5.67E+00
3.27E+03,5.67E+00
3.27E+03,5.70E+00
3.27E+03,5.94E+00
3.27E+03,1.40E+01
3.20E+03,1.89E+01
3.20E+03,2.15E+01
3.20E+03,2.96E+01
3.17E+03,3.72E+01
3.17E+03,4.56E+01
3.17E+03,4.56E+01
3.17E+03,4.57E+01
3.17E+03,4.57E+01
3.12E+03,5.25E+01
3.12E+03,5.35E+01
3.12E+03,6.22E+01
3.12E+03,6.22E+01
3.11E+03,6.78E+01
3.11E+03,7.69E+01
3.11E+03,8.04E+01
3.11E+03,8.04E+01
3.07E+03,8.29E+01
3.07E+03,8.52E+01
3.07E+03,8.52E+01
3.07E+03,8.52E+01
3.07E+03,8.52E+01
3.07E+03,9.69E+01
3.07E+03,9.69E+01
3.07E+03,1.00E+02
3.05E+03,1.13E+02
3.05E+03,1.17E+02
3.05E+03,1.17E+02
3.05E+03,1.17E+02
3.05E+03,1.23E+02
3.05E+03,1.24E+02
3.05E+03,1.25E+02
3.05E+03,1.28E+02
3.05E+03,1.28E+02
3.04E+03,1.43E+02
3.04E+03,1.46E+02
3.04E+03,1.56E+02
3.04E+03,1.64E+02
3.04E+03,1.64E+02
3.04E+03,1.72E+02
3.03E+03,1.87E+02
3.03E+03,1.88E+02
3.03E+03,1.88E+02
3.03E+03,1.92E+02
3.03E+03,2.02E+02
3.03E+03,2.02E+02
3.03E+03,2.03E+02
3.03E+03,2.03E+02
3.03E+03,2.28E+02
3.03E+03,2.28E+02
3.03E+03,2.30E+02
3.02E+03,2.31E+02
3.02E+03,2.38E+02
3.02E+03,2.38E+02
3.02E+03,2.41E+02
3.02E+03,2.42E+02
3.02E+03,2.61E+02
3.02E+03,2.61E+02
3.02E+03,2.79E+02
3.02E+03,2.80E+02
3.02E+03,2.82E+02
3.02E+03,3.06E+02
3.02E+03,3.21E+02
3.02E+03,3.30E+02
3.02E+03,3.36E+02
3.02E+03,3.39E+02
3.02E+03,3.51E+02
3.02E+03,3.53E+02
3.02E+03,3.57E+02
3.02E+03,3.69E+02
3.02E+03,3.80E+02
3.02E+03,3.91E+02
3.02E+03,3.96E+02
3.02E+03,3.99E+02
3.02E+03,4.11E+02
3.01E+03,4.41E+02
3.01E+03,4.44E+02
3.01E+03,4.45E+02
3.01E+03,4.50E+02
3.01E+03,4.54E+02
3.01E+03,4.56E+02
3.01E+03,4.59E+02
3.01E+03,4.67E+02
2.96E+03,4.83E+02
2.96E+03,4.86E+02
2.96E+03,4.90E+02
2.96E+03,4.99E+02
2.96E+03,5.27E+02
2.96E+03,5.49E+02
2.96E+03,5.60E+02
2.92E+03,5.88E+02
2.92E+03,5.91E+02
2.92E+03,6.00E+02
2.92E+03,6.04E+02
2.92E+03,6.07E+02
2.89E+03,6.22E+02
2.89E+03,6.26E+02
2.89E+03,6.26E+02
2.89E+03,6.36E+02
2.89E+03,6.38E+02
2.89E+03,6.43E+02
2.89E+03,6.49E+02
2.89E+03,6.52E+02
2.89E+03,6.61E+02
2.89E+03,6.65E+02
2.89E+03,6.70E+02
2.89E+03,6.74E+02
2.89E+03,7.29E+02
2.89E+03,7.39E+02
2.89E+03,7.39E+02
2.89E+03,7.58E+02
2.89E+03,7.58E+02
2.89E+03,9.85E+02
2.89E+03,9.85E+02
2.88E+03,1.55E+03
2.88E+03,1.56E+03
2.88E+03,1.56E+03
2.88E+03,1.56E+03
2.88E+03,1.56E+03
2.88E+03,1.57E+03
2.88E+03,1.62E+03
2.88E+03,1.63E+03
2.88E+03,1.69E+03
2.88E+03,1.75E+03
2.88E+03,1.87E+03
2.88E+03,2.16E+03
2.88E+03,2.16E+03
2.88E+03,2.17E+03
2.88E+03,2.18E+03
2.88E+03,2.18E+03
2.88E+03,2.18E+03
2.88E+03,2.20E+03
2.88E+03,2.21E+03
2.88E+03,2.23E+03
2.88E+03,2.26E+03
2.88E+03,2.43E+03
2.88E+03,3.17E+03
2.88E+03,3.20E+03
2.88E+03,3.32E+03
2.88E+03,3.51E+03
2.88E+03,3.54E+03
2.88E+03,3.56E+03
2.88E+03,3.76E+03
2.88E+03,3.76E+03
2.88E+03,3.77E+03
2.88E+03,3.77E+03
2.88E+03,3.77E+03
2.88E+03,3.77E+03
2.88E+03,3.77E+03
2.88E+03,3.78E+03
2.88E+03,3.80E+03
2.88E+03,3.81E+03
2.88E+03,4.00E+03
2.88E+03,4.05E+03
2.88E+03,4.19E+03
2.88E+03,4.20E+03
2.88E+03,4.22E+03
2.88E+03,4.22E+03
2.88E+03,4.22E+03
2.88E+03,4.22E+03
2.88E+03,4.23E+03
2.88E+03,4.23E+03
2.88E+03,4.24E+03
2.88E+03,4.29E+03
2.88E+03,4.30E+03
2.88E+03,4.34E+03
2.88E+03,4.45E+03
2.88E+03,4.45E+03
2.88E+03,4.64E+03
2.88E+03,4.64E+03
2.88E+03,4.64E+03
2.88E+03,4.64E+03
2.88E+03,4.64E+03
2.88E+03,4.65E+03
2.88E+03,4.67E+03
2.88E+03,4.70E+03
2.88E+03,4.71E+03
2.88E+03,4.71E+03
2.88E+03,4.71E+03
2.88E+03,4.71E+03
2.88E+03,4.73E+03
2.87E+03,4.74E+03
2.87E+03,4.74E+03
2.87E+03,4.74E+03
2.87E+03,4.74E+03
2.87E+03,4.75E+03
2.87E+03,4.75E+03
2.87E+03,4.75E+03
2.87E+03,4.77E+03
2.87E+03,4.81E+03
2.87E+03,4.81E+03
2.87E+03,4.86E+03
2.87E+03,4.87E+03
2.87E+03,4.88E+03
2.87E+03,4.88E+03
2.87E+03,4.88E+03
2.87E+03,4.90E+03
2.87E+03,4.90E+03
2.87E+03,4.91E+03
2.87E+03,4.96E+03
2.87E+03,5.00E+03
2.87E+03,5.25E+03
2.87E+03,5.25E+03
2.86E+03,6.45E+03
2.86E+03,6.45E+03
2.86E+03,6.46E+03
2.86E+03,6.46E+03
2.86E+03,6.47E+03
2.86E+03,6.47E+03
2.86E+03,6.51E+03
2.86E+03,6.51E+03
2.86E+03,6.53E+03
2.86E+03,6.58E+03
2.86E+03,6.86E+03
2.86E+03,7.28E+03
2.86E+03,7.28E+03
2.86E+03,7.29E+03
2.86E+03,7.29E+03
2.86E+03,7.30E+03
2.86E+03,7.30E+03
2.86E+03,7.31E+03
2.86E+03,7.32E+03
2.86E+03,7.35E+03
2.86E+03,7.39E+03
2.86E+03,7.46E+03
2.85E+03,7.91E+03
2.85E+03,7.92E+03
2.85E+03,7.93E+03
2.85E+03,7.95E+03
2.85E+03,7.95E+03
2.85E+03,7.97E+03
2.85E+03,7.98E+03
2.85E+03,8.02E+03
2.85E+03,8.02E+03
2.85E+03,8.13E+03
2.85E+03,8.14E+03
2.85E+03,8.14E+03
2.85E+03,8.17E+03
2.85E+03,8.18E+03
2.85E+03,8.22E+03
2.85E+03,8.22E+03
2.85E+03,8.25E+03
2.85E+03,8.25E+03
2.85E+03,8.31E+03
2.85E+03,8.37E+03
2.85E+03,9.72E+03
2.85E+03,9.72E+03
2.85E+03,9.72E+03
2.85E+03,9.73E+03
2.85E+03,9.73E+03
