plotId	plotName	plotTypeSimulation	plotTypeData	xValues	xLabel	yValues	yOffset	yLabel	legendEntry	xScale	yScale
plot01	wt	LinePlot	provided	time	Time [sec]	obs_cycA__nuc_median	0	Abundance (normalized)	obs_cycA__nuc_median	lin	lin
plot01	wt	LinePlot	provided	time	Time [sec]	obs_cycB1__nuc_median	0	Abundance (normalized)	obs_cycB1__nuc_median	lin	lin
plot01	wt	LinePlot	provided	time	Time [sec]	obs_cycE__nuc_median	0	Abundance (normalized)	obs_cycE__nuc_median	lin	lin
plot01	wt	LinePlot	provided	time	Time [sec]	obs_E2F1__nuc_median	0	Abundance (normalized)	obs_E2F1__nuc_median	lin	lin
plot01	wt	LinePlot	provided	time	Time [sec]	obs_pRB__nuc_median	0	Abundance (normalized)	obs_pRB__nuc_median	lin	lin
plot02	wt	LinePlot	provided	time	Time [sec]	spec_cell__CCND	0	Abundance (normalized)	spec_cell__CCND	lin	lin
plot02	wt	LinePlot	provided	time	Time [sec]	spec_cell__CCNE	0	Abundance (normalized)	spec_cell__CCNE	lin	lin
plot02	wt	LinePlot	provided	time	Time [sec]	spec_cell__E2F_DBD_RB1_Ser332u_	0	Abundance (normalized)	spec_cell__E2F_DBD_RB1_Ser332u_	lin	lin
plot02	wt	LinePlot	provided	time	Time [sec]	spec_cell__E2F_DBD_RB1_Ser332p_	0	Abundance (normalized)	spec_cell__E2F_DBD_RB1_Ser332p_	lin	lin
plot03	wt	LinePlot	provided	time	Time [sec]	spec_cell__CCNA	0	Abundance (normalized)	spec_cell__CCNA	lin	lin
plot03	wt	LinePlot	provided	time	Time [sec]	spec_cell__CCNB_CDK1_Thr14_Tyr15u_	0	Abundance (normalized)	spec_cell__CCNB_CDK1_Thr14_Tyr15u_	lin	lin
plot03	wt	LinePlot	provided	time	Time [sec]	spec_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_	0	Abundance (normalized)	spec_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_	lin	lin
plot03	wt	LinePlot	provided	time	Time [sec]	spec_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_	0	Abundance (normalized)	spec_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_	lin	lin
plot04	wt	LinePlot	provided	time	Time [sec]	spec_cell__RB1_E2F_Ser807_Ser811u_	0	Abundance (normalized)	spec_cell__RB1_E2F_Ser807_Ser811u_	lin	lin
plot04	wt	LinePlot	provided	time	Time [sec]	spec_cell__RB1_E2F_Ser807_Ser811p_	0	Abundance (normalized)	spec_cell__RB1_E2F_Ser807_Ser811p_	lin	lin
plot04	wt	LinePlot	provided	time	Time [sec]	spec_cell__PPP2R2B_ENSA_ARPP19_	0	Abundance (normalized)	spec_cell__PPP2R2B_ENSA_ARPP19_	lin	lin
plot04	wt	LinePlot	provided	time	Time [sec]	spec_cell__APC_FBXO5_FZR1_CDC20_Ser355u_	0	Abundance (normalized)	spec_cell__APC_FBXO5_FZR1_CDC20_Ser355u_	lin	lin
plot05	wt	LinePlot	provided	time	Time [sec]	spec_cell__CDC20_APC_	0	Abundance (normalized)	spec_cell__CDC20_APC_	lin	lin
plot05	wt	LinePlot	provided	time	Time [sec]	spec_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_	0	Abundance (normalized)	spec_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_	lin	lin
