observableId	simulationConditionId	measurement	time	noiseParameter
obs_cycA__nuc_median	wt	0.760224341	0	1
obs_cycA__nuc_median	wt	0.619988707	164.6044632	0.998845422
obs_cycA__nuc_median	wt	0.634750419	329.4838944	0.997692177
obs_cycA__nuc_median	wt	0.673130618	494.6393196	0.996540263
obs_cycA__nuc_median	wt	0.556513665	660.071628	0.995389679
obs_cycA__nuc_median	wt	0.413325805	825.7817088	0.994240424
obs_cycA__nuc_median	wt	0.463515393	991.770588	0.993092495
obs_cycA__nuc_median	wt	0.321803694	1158.039086	0.991945892
obs_cycA__nuc_median	wt	1.018552993	1324.58823	0.990800613
obs_cycA__nuc_median	wt	0.618512546	1491.418908	0.989656656
obs_cycA__nuc_median	wt	0.823699383	1658.532146	0.98851402
obs_cycA__nuc_median	wt	0.535847404	1825.928903	0.987372704
obs_cycA__nuc_median	wt	0.420706612	1993.610066	0.986232704
obs_cycA__nuc_median	wt	0.487133977	2161.576595	0.985094022
obs_cycA__nuc_median	wt	0.453920295	2329.829582	0.983956654
obs_cycA__nuc_median	wt	0.46056307	2498.369918	0.982820599
obs_cycA__nuc_median	wt	0.729962885	2667.198629	0.981685855
obs_cycA__nuc_median	wt	0.439896809	2836.316603	0.980552422
obs_cycA__nuc_median	wt	0.569799119	3005.725003	0.979420298
obs_cycA__nuc_median	wt	0.622202998	3175.424651	0.97828948
obs_cycA__nuc_median	wt	0.340993794	3345.41664	0.977159968
obs_cycA__nuc_median	wt	0.407421159	3515.702065	0.976031761
obs_cycA__nuc_median	wt	0.4900863	3686.281747	0.974904856
obs_cycA__nuc_median	wt	0.581608508	3857.156849	0.973779252
obs_cycA__nuc_median	wt	0.494514785	4028.328328	0.972654947
obs_cycA__nuc_median	wt	0.500419528	4199.797278	0.971531941
obs_cycA__nuc_median	wt	0.289328044	4371.564658	0.970410231
obs_cycA__nuc_median	wt	0.283423398	4543.631561	0.969289817
obs_cycA__nuc_median	wt	0.524776144	4715.999014	0.968170696
obs_cycA__nuc_median	wt	0.305565917	4888.668042	0.967052867
obs_cycA__nuc_median	wt	0.296708852	5061.63974	0.965936329
obs_cycA__nuc_median	wt	0.330660663	5234.915203	0.96482108
obs_cycA__nuc_median	wt	0.296708852	5408.495456	0.963707118
obs_cycA__nuc_median	wt	0.29523269	5582.381594	0.962594443
obs_cycA__nuc_median	wt	0.525514273	5756.574643	0.961483052
obs_cycA__nuc_median	wt	0.305565917	5931.075697	0.960372945
obs_cycA__nuc_median	wt	0.42808742	6105.885919	0.959264119
obs_cycA__nuc_median	wt	0.296708852	6281.006335	0.958156574
obs_cycA__nuc_median	wt	0.34689844	6456.438108	0.957050307
obs_cycA__nuc_median	wt	0.407421159	6632.182332	0.955945318
obs_cycA__nuc_median	wt	0.557989827	6808.240102	0.954841604
obs_cycA__nuc_median	wt	0.386754897	6984.612511	0.953739165
obs_cycA__nuc_median	wt	0.320327532	7161.300724	0.952637998
obs_cycA__nuc_median	wt	0.321803694	7338.305833	0.951538103
obs_cycA__nuc_median	wt	0.386754897	7515.629071	0.950439478
obs_cycA__nuc_median	wt	0.34689844	7693.271464	0.949342121
obs_cycA__nuc_median	wt	0.488610139	7871.234242	0.948246031
obs_cycA__nuc_median	wt	0.333612986	8049.518568	0.947151207
obs_cycA__nuc_median	wt	0.354279247	8228.125606	0.946057647
obs_cycA__nuc_median	wt	0.414801966	8407.056449	0.944965349
obs_cycA__nuc_median	wt	0.548394825	8586.312329	0.943874313
obs_cycA__nuc_median	wt	0.304089756	8765.894408	0.942784536
obs_cycA__nuc_median	wt	0.302613498	8945.803987	0.941696017
obs_cycA__nuc_median	wt	0.40889732	9126.042091	0.940608756
obs_cycA__nuc_median	wt	0.253900168	9306.61002	0.939522749
obs_cycA__nuc_median	wt	0.417754289	9487.508936	0.938437997
obs_cycA__nuc_median	wt	0.373469444	9668.740072	0.937354497
obs_cycA__nuc_median	wt	0.550609019	9850.304725	0.936272247
obs_cycA__nuc_median	wt	0.299661175	10032.20399	0.935191248
obs_cycA__nuc_median	wt	0.311470563	10214.43924	0.934111496
obs_cycA__nuc_median	wt	0.375683638	10397.01156	0.933032992
obs_cycA__nuc_median	wt	0.355017376	10579.9224	0.931955732
obs_cycA__nuc_median	wt	0.311470563	10763.17284	0.930879716
obs_cycA__nuc_median	wt	0.333612986	10946.76425	0.929804943
obs_cycA__nuc_median	wt	0.491562558	11130.6978	0.92873141
obs_cycA__nuc_median	wt	0.377897928	11314.97486	0.927659117
obs_cycA__nuc_median	wt	0.293756528	11499.59672	0.926588062
obs_cycA__nuc_median	wt	0.366088539	11684.56461	0.925518243
obs_cycA__nuc_median	wt	0.323279856	11869.87984	0.92444966
obs_cycA__nuc_median	wt	0.60375093	12055.54378	0.923382311
obs_cycA__nuc_median	wt	0.278994913	12241.55764	0.922316194
obs_cycA__nuc_median	wt	0.317375209	12427.92282	0.921251307
obs_cycA__nuc_median	wt	0.494514882	12614.64066	0.920187651
obs_cycA__nuc_median	wt	0.459824941	12801.71247	0.919125222
obs_cycA__nuc_median	wt	0.413325805	12989.13955	0.91806402
obs_cycA__nuc_median	wt	0.312946725	13176.92334	0.917004043
obs_cycA__nuc_median	wt	0.404468836	13365.06513	0.91594529
obs_cycA__nuc_median	wt	0.516657304	13553.56629	0.91488776
obs_cycA__nuc_median	wt	0.464991554	13742.42827	0.91383145
obs_cycA__nuc_median	wt	0.481229331	13931.65236	0.91277636
