parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters				
kPhRbD		log	1.30E-16	9.21E-13	2.90E-14	1	0	uniform					
kPhRbE		log	1.15E-14	4.22E-12	8.91E-14	1	0	uniform					
kDpRb		log	0.000139	0.013899951	0.002476057	1	0	uniform					
kPhRb		log	3.45E-14	3.45E-12	5.30E-14	1	0	uniform					
kSyCe1		log	2773.270542	16699678.07	7179099.642	1	0	uniform					
kSyCe2		log	0.008399488	83.20022066	1.448409726	1	0	uniform					
kDeCe		log	1.39E-05	0.001390002	2.89E-04	1	0	uniform					
kDiE2fRb		log	3.47E-05	0.003470002	0.001564022	1	0	uniform					
kAsE2fRb		log	2.79E-13	2.79E-11	5.75E-13	1	0	uniform					
kSyE2f1		log	83499.84045	835048195.2	94182.67876	1	0	uniform					
kSyE2f2		log	0.218328894	1390.001354	13.82142719	1	0	uniform					
kDeE2f1		log	1.83E-05	0.069303491	0.000693	1	0	uniform					
kDeE2f2		log	2.33E-19	2.83E-15	2.30E-15	1	0	uniform					
kPhE2f		log	1.90E-13	2.30E-11	2.30E-13	1	0	uniform					
kDpE2f2		log	7.34E-16	1.86E-11	1.15E-13	1	0	uniform					
kSyEmi1		log	416982.6945	41699512.66	737313.0443	1	0	uniform					
kSyEmi2		log	0.693000194	69.29966	3.823074468	1	0	uniform					
kDeEmi1		log	3.53E-07	3.53E-05	3.47E-05	1	0	uniform					
kDeEmi2		log	6.93E-07	6.93E-05	3.47E-05	1	0	uniform					
kDeEmi3		log	0.003470002	0.347000173	0.107103251	1	0	uniform					
kPhEmiA		log	8.25E-19	8.25E-17	5.75E-17	1	0	uniform					
kPhEmiB		log	8.83E-15	2.88E-12	2.88E-14	1	0	uniform					
kDpEmi		log	8.02E-09	2.84E-06	3.47E-07	1	0	uniform					
kSyCa1		log	83499.84045	38511554.17	720413.7742	1	0	uniform					
kSyCa2		log	0.104000456	62.13729164	0.193689359	1	0	uniform					
kDeCa1		log	1.05E-10	1.05E-06	6.93E-07	1	0	uniform					
kDeCa2		log	4.60E-15	4.60E-13	7.45E-14	1	0	uniform					
kDeCa3		log	2.29E-17	1.10E-13	1.15E-15	1	0	uniform					
kDpCdh		log	0.000346999	0.034699847	0.014034503	1	0	uniform					
kPhCdhA		log	2.88E-16	4.25E-14	2.88E-14	1	0	uniform					
kPhCdhE		log	1.15E-17	8.23E-14	1.15E-15	1	0	uniform					
kPhCdhB		log	6.70E-17	6.70E-13	2.88E-13	1	0	uniform					
kDiACE		log	5.96E-06	0.034699847	0.010676666	1	0	uniform					
kAsACE		log	1.11E-13	5.75E-08	5.70E-10	1	0	uniform					
kDiACdh		log	1.38E-05	0.001383789	3.47E-05	1	0	uniform					
kAsACdh		log	2.54E-14	2.33E-10	4.99E-11	1	0	uniform					
kPhCeA		log	2.78E-17	1.15E-14	1.15E-15	1	0	uniform					
kPhCeE		log	1.99E-17	2.04E-13	1.15E-16	1	0	uniform					
kPhFoxE		log	1.15E-17	1.15E-13	1.15E-16	1	0	uniform					
kPhFoxA		log	1.15E-16	9.95E-13	2.98E-15	1	0	uniform					
kPhFoxB		log	5.75E-15	5.75E-13	4.71E-14	1	0	uniform					
kDpFox		log	1.00E-06	0.0001	1.87E-06	1	0	uniform					
kSyCb1		log	83499.84045	8350232.995	3371771.388	1	0	uniform					
kSyCb2		log	0.104000456	10.40004362	9.113283267	1	0	uniform					
kDeCb1		log	6.93E-08	6.93E-06	4.80E-06	1	0	uniform					
kDeCb2		log	1.44E-16	1.44E-14	8.66E-15	1	0	uniform					
kDeCb3		log	1.44E-15	1.44E-13	3.15E-15	1	0	uniform					
kPhEnsa		log	1.15E-15	1.15E-13	1.96E-14	1	0	uniform					
kDpEnsa		log	3.60E-05	0.347010583	0.00347	1	0	uniform					
kPhGw		log	1.15E-14	1.15E-12	1.12E-12	1	0	uniform					
kDpGw1		log	0.000173	0.017299979	0.016399213	1	0	uniform					
kDpGw2		log	1.62E-15	1.62E-13	1.15E-13	1	0	uniform					
kWee1		log	4.40E-20	1.15E-16	1.15E-17	1	0	uniform					
kWee2		log	1.15E-14	1.15E-10	1.10E-12	1	0	uniform					
kPhWeeA		log	1.15E-15	4.97E-12	5.43E-14	1	0	uniform					
kPhWeeB		log	3.22E-15	3.19E-11	3.22E-13	1	0	uniform					
kDpWee		log	1.15E-13	1.15E-11	1.07E-11	1	0	uniform					
kCdc25_1		log	1.15E-16	1.15E-14	8.90E-15	1	0	uniform					
kCdc25_2		log	1.15E-14	1.15E-12	6.23E-14	1	0	uniform					
kDpCdc25		log	1.15E-13	1.44E-09	9.22E-12	1	0	uniform					
kDipEB55		log	4.71E-07	0.001383382	4.62E-05	1	0	uniform					
kAspEB55		log	1.70E-13	6.56E-10	1.70E-11	1	0	uniform					
kSyCdc_1		log	1561.849756	8350232.995	156189.6321	1	0	uniform					
kSyCdc_2		log	0.135063504	15.16773559	0.139	1	0	uniform					
kDeCdc_1		log	2.77E-06	0.000277001	8.87E-06	1	0	uniform					
kDeCdc_2		log	4.60E-17	4.60E-13	5.21E-17	1	0	uniform					
kDipACdc		log	8.66E-07	0.008660178	8.66E-06	1	0	uniform					
kAspACdc		log	8.01E-14	1.24E-10	1.15E-12	1	0	uniform					
kPhApcA		log	1.15E-15	1.15E-13	3.19E-14	1	0	uniform					
kDpApc_1		log	0.00E+00	0.03	0	1	0	uniform					
kDpApc_2		log	5.75E-14	5.75E-11	5.75E-13	1	0	uniform					
kSyFox1		log	83499.84045	8350232.995	2655976.418	1	0	uniform					
kSyFox2		log	0.104000456	1040.004168	1.083944877	1	0	uniform					
kDeFox1		log	6.93E-07	6.93E-05	3.48E-05	1	0	uniform					
kDeFox2		log	2.70E-17	5.75E-11	5.75E-13	1	0	uniform					
kAsEPx		log	5.75E-12	5.75E-10	1.25E-11	1	0	uniform					
kDiEPx		log	0.003482222	3.469984059	0.0347	1	0	uniform					
kAsFPcb		log	5.75E-13	5.64E-09	5.87E-12	1	0	uniform					
kDiFPcb		log	0.006929969	0.693000194	0.265147937	1	0	uniform					
kAsFPcdc		log	5.75E-13	5.75E-11	1.45E-12	1	0	uniform					
kDiFPcdc		log	0.000329673	1.729999293	0.032967341	1	0	uniform					
kPhC25B		log	1.30E-16	1.15E-12	1.30E-14	1	0	uniform					
kPhCAEE		log	9.07E-16	9.21E-14	9.07E-14	1	0	uniform					
kPhCAEA		log	2.30E-14	2.04E-10	7.07E-13	1	0	uniform					
kPhCAEB		log	7.69E-13	3.64E-08	2.30E-11	1	0	uniform					
kDpE2f1		log	0.00E+00	0.010000002	0	1	0	uniform					
kPhC25A		log	0.00E+00	0.010000002	0	1	0	uniform					
kSySkp2		log	1199961.463	119999723.9	11036090.83	1	0	uniform					
kDeSkp2_1		log	1.07E-07	0.000999995	1.34E-04	1	0	uniform					
kDeSkp2_2		log	3.32E-15	3.32E-13	7.38E-14	1	0	uniform					
kAsTP53PCDKN1A		log	4.98E-13	4.98E-09	2.04E-12	1	0	uniform					
kDiTP53PCDKN1A		log	0.014999926	1.499999838	1.426566847	1	0	uniform					
kSyCDKN1A_1		log	1199961.463	119999723.9	117600086.8	1	0	uniform					
kSyCDKN1A_2		log	0.008	80	8	1	0	uniform					
kDeCDKN1A_1		log	2.00E-05	0.001999996	0.0007738	1	0	uniform					
kDeCDKN1A_2		log	4.15E-16	4.15E-14	1.14E-14	1	0	uniform					
kAsCdkn1aC		log	7.41E-13	1.82E-06	1.16E-12	1	0	uniform					
kDiCdkn1aC		log	3.00E-07	0.002590113	3.00E-05	1	0	uniform					
kPhCDKN1AByCe		log	9.48E-16	8.30E-13	9.48E-14	1	0	uniform					
kPhCDKN1AByCa		log	4.69E-16	3.32E-12	3.32E-14	1	0	uniform					
kPhCDKN1AByCb		log	3.32E-18	3.32E-14	1.79E-14	1	0	uniform					
kDpCDKN1A		log	0.000200001	0.857510932	0.004203241	1	0	uniform					
