parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	1.2963675573376024e-16	1.2964062078316888e-14	1.885366272411188e-15	1	0	uniform	
kPhRbE		log	4.222173715405319e-14	4.221877388370336e-12	8.934266711963028e-13	1	0	uniform	
kDpRb		log	0.0001389995308526596	0.01389995050004046	0.003125464350324737	1	0	uniform	
kPhRb		log	3.4500588950158183e-14	3.450161756646151e-12	1.135130679747559e-12	1	0	uniform	
kSyCe1		log	2773.270542030031	277335.3225583303	262206.59426888486	1	0	uniform	
kSyCe2		log	0.41212784213545395	41.212900186974124	0.8399511756892891	1	0	uniform	
kDeCe		log	1.3900301881082116e-05	0.0013900021292585867	1.5830781616867057e-05	1	0	uniform	
kDiE2fRb		log	3.469898923881896e-05	0.0034700023770319064	0.0034234485759519024	1	0	uniform	
kAsE2fRb		log	2.789901272266328e-13	2.789984451656033e-11	4.550541499227878e-12	1	0	uniform	
kSyE2f1		log	94183.47306477407	835048195.2401165	19235043.048102558	1	0	uniform	
kSyE2f2		log	0.2183294758573509	1390.0013536872736	0.6798896635883344	1	0	uniform	
kDeE2f1		log	1.8300173816364714e-05	0.06930349092201217	0.004300501491971391	1	0	uniform	
kDeE2f2		log	2.299856157814578e-17	2.2999247267756163e-15	2.3473368501258425e-17	1	0	uniform	
kPhE2f		log	1.899909415385e-13	2.300061870830776e-11	4.2201685599315074e-12	1	0	uniform	
kDpE2f2		log	1.1500509076562941e-13	1.8599247370124186e-11	1.4204873932330606e-13	1	0	uniform	
kSyEmi1		log	416982.6945334046	41699512.66457497	37609266.704642296	1	0	uniform	
kSyEmi2		log	0.6930001938960452	69.2996600014611	0.9263848641111706	1	0	uniform	
kDeEmi1		log	3.529992163454993e-07	3.530097408252269e-05	2.111724426295359e-06	1	0	uniform	
kDeEmi2		log	6.929555369916987e-07	6.929969866820634e-05	2.5462118762507016e-06	1	0	uniform	
kDeEmi3		log	0.0034700023770319064	0.34700017316528464	0.016569883440808182	1	0	uniform	
kPhEmiA		log	8.250854468203663e-19	8.250275394151895e-17	3.783850714340698e-17	1	0	uniform	
kPhEmiB		log	8.830188790022313e-15	2.8800887680963864e-12	3.695663364826459e-13	1	0	uniform	
kDpEmi		log	2.838257905663363e-08	2.838058706718648e-06	2.027493622404544e-07	1	0	uniform	
kSyCa1		log	385104.06001424725	38511554.16824357	7823353.611151745	1	0	uniform	
kSyCa2		log	0.6213730319859635	62.13729164179901	10.397983530205195	1	0	uniform	
kDeCa1		log	6.929793391978133e-09	6.930000000000737e-07	1.047907441552472e-08	1	0	uniform	
kDeCa2		log	4.60009242144035e-15	4.600229570695532e-13	7.594293951540428e-15	1	0	uniform	
kDeCa3		log	2.287337349444791e-17	2.2874055451643634e-15	1.0984957670993989e-15	1	0	uniform	
kDpCdh		log	0.0003469985349751356	0.034699847043754645	0.0132703258660102	1	0	uniform	
kPhCdhA		log	2.880205045318987e-16	2.880290917066295e-14	2.2685976119845976e-15	1	0	uniform	
kPhCdhE		log	1.1519389670730245e-17	1.1519733115069583e-15	2.3372041524998855e-16	1	0	uniform	
kPhCdhB		log	6.699600504151601e-17	6.699800249099089e-15	2.423507752774583e-15	1	0	uniform	
kDiACE		log	5.961497455802987e-06	0.0005961496347035022	0.0003793990354576977	1	0	uniform	
kAsACE		log	1.1125914937171285e-13	1.1124187450549136e-10	7.865908703502924e-12	1	0	uniform	
kDiACdh		log	1.3837891052300241e-05	0.0013837888478617538	0.0003115659477662828	1	0	uniform	
kAsACdh		log	2.5364093772999238e-14	2.5364849989663386e-12	2.3317299024267643e-12	1	0	uniform	
kPhCeA		log	2.782057294176896e-17	2.7821402397026675e-15	2.9947004463860414e-16	1	0	uniform	
kPhCeE		log	1.9871836206292436e-17	3.525291371056097e-14	1.158250689327726e-16	1	0	uniform	
kPhFoxE		log	1.1499994773592422e-16	1.1500509076562941e-13	2.383386186666996e-16	1	0	uniform	
kPhFoxA		log	1.1499994773592422e-16	1.1500337639683448e-14	9.946520105124355e-15	1	0	uniform	
kPhFoxB		log	5.749865107165492e-15	5.750036536267752e-13	4.174530579402678e-13	1	0	uniform	
kDpFox		log	1.0000105580200096e-06	0.00010000003719762515	4.7701623365185455e-05	1	0	uniform	
kSyCb1		log	83499.84044509202	8350232.994744025	2244556.873472371	1	0	uniform	
kSyCb2		log	0.10400045550443701	10.40004361615926	0.4831769610728942	1	0	uniform	
kDeCb1		log	6.930145051619351e-08	6.929658669610089e-06	3.6168217076289786e-06	1	0	uniform	
kDeCb2		log	1.4400264592593065e-16	1.4400693928653197e-14	6.349220965729702e-16	1	0	uniform	
kDeCb3		log	1.4400479259023078e-15	1.4399468582626855e-13	1.2610609028496336e-13	1	0	uniform	
kPhEnsa		log	1.1500166205359587e-15	1.1500509076562941e-13	7.51360360573282e-15	1	0	uniform	
kDpEnsa		log	3.5999698303561695e-05	0.3470105833266312	0.0038755791412477965	1	0	uniform	
kPhGw		log	1.1500337639683448e-14	1.1499530505449098e-12	3.1895259800870533e-14	1	0	uniform	
kDpGw1		log	0.00017299982067979668	0.017299978850389308	0.0006531248444512123	1	0	uniform	
kDpGw2		log	1.6200814000245377e-15	1.619967697000915e-13	7.470520593363589e-14	1	0	uniform	
kWee1		log	4.403626476754545e-20	4.403757768484375e-18	3.525028161601479e-18	1	0	uniform	
kWee2		log	1.1023244822902966e-12	1.1498723427861088e-10	2.8276622538828317e-11	1	0	uniform	
kPhWeeA		log	1.1495044117230085e-15	1.1495386835721168e-13	4.996001880416364e-14	1	0	uniform	
kPhWeeB		log	3.2212722651193728e-15	3.22104618487646e-13	3.187861864486624e-13	1	0	uniform	
kDpWee		log	1.1500509076562941e-13	1.1499701930295362e-11	3.8995597517572447e-13	1	0	uniform	
kCdc25_1		log	1.1499994773592422e-16	1.1500337639683448e-14	3.30898894206056e-15	1	0	uniform	
kCdc25_2		log	1.1500337639683448e-14	1.1499530505449098e-12	3.8037668965133495e-14	1	0	uniform	
kDpCdc25		log	1.1499700987185311e-11	1.435001299713275e-09	2.137341505232011e-11	1	0	uniform	
kDipEB55		log	1.3833957131921308e-05	0.0013833816220116366	4.103566527855543e-05	1	0	uniform	
kAspEB55		log	1.7021739171541086e-13	1.7020544525882485e-11	1.221181602384285e-12	1	0	uniform	
kSyCdc_1		log	1561.85578657352	156185.5496086815	19244.97958194714	1	0	uniform	
kSyCdc_2		log	0.15167738410459472	15.167735589441019	9.577971699579562	1	0	uniform	
kDeCdc_1		log	2.769898170480878e-06	0.0002770008453435011	4.773243410694699e-05	1	0	uniform	
kDeCdc_2		log	5.2119109883278375e-17	4.600229570695532e-13	2.5301450670472843e-13	1	0	uniform	
kDipACdc		log	8.659963934551892e-06	0.008660178020321214	2.3378949412582503e-05	1	0	uniform	
kAspACdc		log	8.010374598793396e-14	1.1485464132638737e-10	8.72021296241652e-14	1	0	uniform	
kPhApcA		log	1.1500166205359587e-15	1.1500509076562941e-13	3.7921825041199476e-14	1	0	uniform	
kDpApc_1		log	0.0	0.029999936919665772	0.0	1	0	uniform	
kDpApc_2		log	5.749950821078331e-14	5.7502079704810776e-11	3.0832193053352756e-12	1	0	uniform	
kSyFox1		log	83499.84044509202	8350232.994744025	131600.54602022463	1	0	uniform	
kSyFox2		log	1.0839449309279288	1040.0041681875175	9.686891751610554	1	0	uniform	
kDeFox1		log	6.930248360102909e-07	6.929969866820634e-05	1.132990188092716e-05	1	0	uniform	
kDeFox2		log	2.6993160794458277e-17	6.777736238227735e-14	6.455301506564437e-14	1	0	uniform	
kAsEPx		log	5.750122252736104e-12	5.749718688885988e-10	2.3933827102354464e-11	1	0	uniform	
kDiEPx		log	0.0034822383080035644	3.469984058999692	0.09318577473858318	1	0	uniform	
kAsFPcb		log	5.639944983690602e-11	5.640113135584139e-09	5.71918036758027e-11	1	0	uniform	
kDiFPcb		log	0.006929968577928892	0.6930001938960452	0.011437112854453061	1	0	uniform	
kAsFPcdc		log	5.750036536267752e-13	5.7502079704810776e-11	7.106937525133113e-13	1	0	uniform	
kDiFPcdc		log	0.0003296727705046946	0.03296727091894908	0.001929563430361908	1	0	uniform	
kPhC25B		log	1.1500338582846897e-14	1.149953144854517e-12	4.841263859529854e-13	1	0	uniform	
kPhCAEE		log	9.0717164220524e-16	9.071986890346625e-14	2.622051992317433e-14	1	0	uniform	
kPhCAEA		log	2.0399466821784794e-12	2.0400075020797931e-10	1.1813786755855254e-11	1	0	uniform	
kPhCAEB		log	1.2171994354973672e-11	3.6407780044156086e-08	2.2890187023126365e-09	1	0	uniform	
kDpE2f1		log	0.0	0.010000001859881084	0.0	1	0	uniform	
kPhC25A		log	0.0	0.0	0.0	1	0	uniform	
kSySkp2		log	1199961.4629089332	119999723.91075937	67874225.13857171	1	0	uniform	
kDeSkp2_1		log	1.0000254652944633e-05	0.0009999952789932814	1.0732138646174035e-05	1	0	uniform	
kDeSkp2_2		log	3.3200385520053618e-15	3.320137537149853e-13	3.5037244708729303e-15	1	0	uniform	
kAsTP53PCDKN1A		log	2.0381063479135468e-12	4.98017901384894e-09	5.356082544741346e-11	1	0	uniform	
kDiTP53PCDKN1A		log	0.014999926168380615	1.4999998378377621	0.6614384541780025	1	0	uniform	
kSyCDKN1A_1		log	1199961.4629089332	119999723.91075937	19725970.43279422	1	0	uniform	
kSyCDKN1A_2		log	0.8	80.0	8.0	0	0	uniform	
kDeCDKN1A_1		log	1.999956569292128e-05	0.001999996196847999	0.0008737664890223429	1	0	uniform	
kDeCDKN1A_2		log	4.149805592251487e-16	4.1499293164496085e-14	5.887735478906435e-16	1	0	uniform	
kAsCdkn1aC		log	1.1600357689509952e-10	1.8161347300245534e-06	2.4506394388812125e-08	1	0	uniform	
kDiCdkn1aC		log	3.0014504373857585e-07	3.0012397850136126e-05	9.236903469308882e-06	1	0	uniform	
kPhCDKN1AByCe		log	9.480731615355943e-16	9.48006622419151e-14	9.709649610035735e-16	1	0	uniform	
kPhCDKN1AByCa		log	4.690135568503596e-16	3.320187030828453e-12	8.718974461809177e-15	1	0	uniform	
kPhCDKN1AByCb		log	3.3198903520977207e-18	3.3199893328240543e-16	1.664425673749728e-16	1	0	uniform	
kDpCDKN1A		log	0.008575110915503347	0.8575109320634929	0.699613492456651	1	0	uniform	
kAsFOXOPCDKN1B		log	7.833474933397769e-13	4.98017901384894e-09	6.002961272727889e-11	1	0	uniform	
kDiFOXOPCDKN1B		log	0.0005127511080599898	0.05127510126943986	0.004854259533720735	1	0	uniform	
kSyCDKN1B_1		log	1199961.4629089332	119999723.91075937	10342282.18098521	1	0	uniform	
kSyCDKN1B_2		log	0.09999950930060851	10.000049070179935	7.0136810396105895	1	0	uniform	
kDeCDKN1B_1		log	0.0014810707101024472	0.2000035825189058	0.007108602628473931	1	0	uniform	
kDeCDKN1B_2		log	4.149867453889679e-15	4.149991179931317e-13	1.2529376257311357e-14	1	0	uniform	
kAsCdkn1bC		log	1.1599667047639454e-14	1.1600012885406328e-12	4.854235253036958e-13	1	0	uniform	
kDiCdkn1bC		log	2.999950087285846e-07	3.0000395291667774e-05	3.927592507637169e-06	1	0	uniform	
kPhCDKN1BByCe		log	4.4572347547786464e-15	4.4569219303313026e-13	1.1990951246309333e-14	1	0	uniform	
kPhCDKN1BByCa		log	8.300297038361956e-14	8.299008276748633e-11	4.6155872975231486e-11	1	0	uniform	
kPhCDKN1BByCb		log	8.299802122808028e-18	8.300049576896992e-16	9.28354852102871e-18	1	0	uniform	
kDpCDKN1B		log	8.51909877755618e-06	0.0008519012002559424	0.0005930774289113052	1	0	uniform	
kPhNup		log	4.98	498.0	0.0	0	0	uniform	
kDpNup_1		log	0.2	20.0	0.0	0	0	uniform	
kImImCCND_1		log	0.0001660004597555216	0.01660004288814142	0.003920080555879865	1	0	uniform	
kExImCCND_1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNE_CDKN1A_B__1		log	0.114952191225047	16.7451896920857	0.1657467401803455	1	0	uniform	
kExImCCNE_CDKN1A_B__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB1_Ser332u__1		log	0.0001660004597555216	0.01660004288814142	0.0007763247762055019	1	0	uniform	
kExImE2F_DBD_RB1_Ser332u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB1_Ser332p__1		log	0.008357800371189784	16.599955257042843	0.1508175716490062	1	0	uniform	
kExImE2F_DBD_RB1_Ser332p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNA_CDKN1A_B__1		log	0.16039431930197123	16.599955257042843	4.973995721833089	1	0	uniform	
kExImCCNA_CDKN1A_B__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		log	0.00046129939446671307	0.04612993086705274	0.039510809302624766	1	0	uniform	
kExImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		log	0.0016599961431831975	0.1659995834443712	0.048136610319388845	1	0	uniform	
kExImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB11_Ser332p__RB1_E2F1_Ser807_Ser811u__1		log	0.13502368600000025	16.600037193267323	4.406469835718865	1	0	uniform	
kExImE2F_DBD_RB11_Ser332p__RB1_E2F1_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImRB1_E2F_Ser807_Ser811u__1		log	0.0016599961431831975	0.1659995834443712	0.027316162769198266	1	0	uniform	
kExImRB1_E2F_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImRB1_E2F_Ser807_Ser811p__1		log	1.660000660068501	267.36123925735313	2.244429732450331	1	0	uniform	
kExImRB1_E2F_Ser807_Ser811p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImPPP2R2B_ENSA_ARPP19__1		log	1.259890772166065	125.98880180628404	6.9891630591415685	1	0	uniform	
kExImPPP2R2B_ENSA_ARPP19__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO5_FZR1_CDC20_Ser355u__1		log	0.0007593219991370039	0.07593218579121679	0.000830937404892316	1	0	uniform	
kExImAPC_FBXO5_FZR1_CDC20_Ser355u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCDC20_APC__1		log	0.0016599961431831975	0.1659995834443712	0.032126484240718914	1	0	uniform	
kExImCDC20_APC__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO5_FZR1_CDC201_Ser355p__CDC20_APC1__1		log	0.0016599961431831975	0.1659995834443712	0.046588964469347544	1	0	uniform	
kExImAPC_FBXO5_FZR1_CDC201_Ser355p__CDC20_APC1__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO5_FZR1_CDC20_Ser355p__1		log	3.366337859688041e-05	0.00336637089712966	5.612202799022218e-05	1	0	uniform	
kExImAPC_FBXO5_FZR1_CDC20_Ser355p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO5_FZR1_CDC201_Ser355u__FZR1_APC1_FBXO5_nTermu__1		log	1.6918773718053419e-07	1.6918601384503495e-05	1.6600130519702604e-05	1	0	uniform	
kExImAPC_FBXO5_FZR1_CDC201_Ser355u__FZR1_APC1_FBXO5_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImFZR1_APC_FBXO5_nTermu__1		log	0.0001660004597555216	1.660000660068501	0.7456976711304062	1	0	uniform	
kExImFZR1_APC_FBXO5_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImFZR1_APC_FBXO5_nTermp__1		log	1.6599537615548418e-06	0.0016630520000000069	1.5076419903218945e-05	1	0	uniform	
kExImFZR1_APC_FBXO5_nTermp__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO51_FZR1_CDC202_Ser355u__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	1.6599466527761736e-05	0.0016599961431831148	1.679201988789812e-05	1	0	uniform	
kExImAPC_FBXO51_FZR1_CDC202_Ser355u__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImFBXO5_APC_FZR1_Ser182u__1		log	1.6600130519702604e-05	0.0016599961431831975	0.0012678200586079328	1	0	uniform	
kExImFBXO5_APC_FZR1_Ser182u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO51_FZR1_CDC202_Ser355p__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	0.001642066121308296	0.1659995834443712	0.16309363552994202	1	0	uniform	
kExImAPC_FBXO51_FZR1_CDC202_Ser355p__FBXO5_APC1_FZR13_Ser182u__FZR1_APC2_FBXO53_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImAPC_FBXO5_FZR1_CDC201_Ser355p__FZR1_APC1_FBXO5_nTermu__1		log	0.0009016447161760645	0.09016445484808999	0.0029736304819206957	1	0	uniform	
kExImAPC_FBXO5_FZR1_CDC201_Ser355p__FZR1_APC1_FBXO5_nTermu__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImFBXO5_APC_FZR1_Ser182p__1		log	5.787934342463795e-05	0.005787933265976979	0.0036170582726317005	1	0	uniform	
kExImFBXO5_APC_FZR1_Ser182p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImFOXM1_DBD_Thr600u__1		log	0.0017061088973063959	16.599955257042843	0.2654955850396465	1	0	uniform	
kExImFOXM1_DBD_Thr600u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImFOXM1_DBD_Thr600p__1		log	0.0016599961431831975	0.1659995834443712	0.07221751402915891	1	0	uniform	
kExImFOXM1_DBD_Thr600p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImWEE1_Ser123u__1		log	0.0016599961431831975	0.1659995834443712	0.0023068240592776937	1	0	uniform	
kExImWEE1_Ser123u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNB_CDK1_Thr14_Tyr15p_CDKN1A__1		log	0.0004160562876521615	0.041605621027065394	0.025352462879888786	1	0	uniform	
kExImCCNB_CDK1_Thr14_Tyr15p_CDKN1A__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImWEE1_Ser123p__1		log	0.0001660004597555216	0.01660004288814142	0.00414278372818273	1	0	uniform	
kExImWEE1_Ser123p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCDC25_pSitesp__1		log	0.00022500438220482942	0.02250038903484669	0.019706177043074837	1	0	uniform	
kExImCDC25_pSitesp__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCDC25_pSitesu__1		log	0.0016599961431831975	0.1659995834443712	0.11999363215213191	1	0	uniform	
kExImCDC25_pSitesu__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImMASTL_Thr198u__1		log	0.0017644317902127068	0.17644314620494367	0.002110170386461714	1	0	uniform	
kExImMASTL_Thr198u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
