parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	1.2963675573376024e-16	1.2964062078318175e-14	4.84963291302918e-15	1	0	uniform	
kPhRbE		log	4.222173715405319e-14	4.221877388370336e-12	2.349036687337696e-12	1	0	uniform	
kDpRb		log	0.0001389995308526	0.0138999505000404	0.0029376603902165	1	0	uniform	
kPhRb		log	3.4500588950158183e-14	3.4501617566461508e-12	8.862915464003337e-13	1	0	uniform	
kSyCe1		log	2773.270542030031	277335.3225583027	223094.7983796785	1	0	uniform	
kSyCe2		log	0.0083994881206001	0.8399511756892891	0.3638820533255367	1	0	uniform	
kDeCe		log	1.3900301881082116e-05	0.0013900021292585	1.7653093182124155e-05	1	0	uniform	
kDiE2fRb		log	3.469898923881896e-05	0.0034700023770319	0.0029786036486575	1	0	uniform	
kAsE2fRb		log	2.789901272266607e-13	2.7899844516563102e-11	3.257310001793161e-12	1	0	uniform	
kSyE2f1		log	94183.4730647647	835048195.2400335	18842502.45484133	1	0	uniform	
kSyE2f2		log	0.2183294758573552	1390.0013536872464	10.611459056076342	1	0	uniform	
kDeE2f1		log	1.8300173816366534e-05	0.0693034909220128	0.0044357985493404	1	0	uniform	
kDeE2f2		log	2.3292713613272584e-19	2.329340807286829e-17	2.3869286578379235e-19	1	0	uniform	
kPhE2f		log	1.899909415385189e-13	2.3000618708310047e-11	4.806271423631401e-12	1	0	uniform	
kDpE2f2		log	7.338515878275438e-16	1.1868246113364261e-13	9.936946440971509e-14	1	0	uniform	
kSyEmi1		log	416982.6945333631	41699512.66457082	38009871.79932306	1	0	uniform	
kSyEmi2		log	0.6930001938960458	69.29966000146042	0.746603910211955	1	0	uniform	
kDeEmi1		log	3.529992163455344e-07	3.53009740825262e-05	2.3673318812010654e-06	1	0	uniform	
kDeEmi2		log	6.929555369917676e-07	6.929969866820634e-05	1.9927419128854747e-06	1	0	uniform	
kDeEmi3		log	0.0034700023770319	0.3470001731652881	0.015687965706788	1	0	uniform	
kPhEmiA		log	8.250854468203665e-19	8.250275394151893e-17	3.666630960506547e-17	1	0	uniform	
kPhEmiB		log	8.830188790024069e-15	2.880088768096673e-12	4.222338897162249e-13	1	0	uniform	
kDpEmi		log	2.8382579056636453e-08	2.838058706718648e-06	2.4556793574090985e-07	1	0	uniform	
kSyCa1		log	385104.06001420895	38511554.16824357	3810147.08489062	1	0	uniform	
kSyCa2		log	0.621373031985964	62.13729164179832	10.494242367349583	1	0	uniform	
kDeCa1		log	6.929793391978133e-09	6.930000000000749e-07	1.3070152382543772e-08	1	0	uniform	
kDeCa2		log	4.60009242144035e-15	4.600229570695989e-13	7.823079303068596e-15	1	0	uniform	
kDeCa3		log	1.0984957670993989e-15	1.0985285181537174e-13	5.796940926095339e-15	1	0	uniform	
kDpCdh		log	0.0003469985349751	0.0346998470437549	0.0127100570732152	1	0	uniform	
kPhCdhA		log	2.880205045319846e-16	2.880290917066295e-14	3.060457705045316e-15	1	0	uniform	
kPhCdhE		log	8.234355874091586e-16	8.23460137693291e-14	1.1762985375297393e-15	1	0	uniform	
kPhCdhB		log	6.699600504151601e-17	6.699800249101088e-15	2.6967876850018552e-15	1	0	uniform	
kDiACE		log	5.961497455802987e-06	0.0005961496347035	0.0003516730498919	1	0	uniform	
kAsACE		log	1.1125914937172392e-13	1.1124187450549136e-10	8.513187636388534e-12	1	0	uniform	
kDiACdh		log	1.383789105230024e-05	0.0013837888478617	0.0002982837608754	1	0	uniform	
kAsACdh		log	2.331729902426765e-12	2.33179942168593e-10	3.145503089697524e-12	1	0	uniform	
kPhCeA		log	2.782057294176896e-17	2.7821402397034978e-15	1.8247636806785292e-16	1	0	uniform	
kPhCeE		log	1.9871836206298368e-17	3.5252913710564486e-14	2.192779622071497e-17	1	0	uniform	
kPhFoxE		log	1.1499994773593563e-16	1.1500509076562941e-13	2.460686447798782e-16	1	0	uniform	
kPhFoxA		log	9.946520105124357e-15	9.94681665521189e-13	1.1934077417603204e-14	1	0	uniform	
kPhFoxB		log	5.749865107165492e-15	5.750036536267753e-13	3.1062083173928553e-13	1	0	uniform	
kDpFox		log	1.0000105580200096e-06	0.0001000000371976	5.829345907391478e-05	1	0	uniform	
kSyCb1		log	83499.84044508371	8350232.994743195	2254588.7612628336	1	0	uniform	
kSyCb2		log	0.104000455504437	10.40004361615926	0.5201150032766081	1	0	uniform	
kDeCb1		log	6.93014505162004e-08	6.929658669610778e-06	1.377882287645937e-06	1	0	uniform	
kDeCb2		log	1.4400264592593063e-16	1.4400693928653197e-14	7.043532789819262e-16	1	0	uniform	
kDeCb3		log	1.4400479259023078e-15	1.4399468582628289e-13	1.211203219875009e-13	1	0	uniform	
kPhEnsa		log	1.150016620535959e-15	1.1500509076562941e-13	7.719928346747231e-15	1	0	uniform	
kDpEnsa		log	3.599969830356528e-05	0.3470105833266312	0.0040209567655092	1	0	uniform	
